[00:00:20.370 --> 00:00:26.575]  Send in the clowns.
[00:28:12.626 --> 00:28:14.792]  What do you make of her saying he is guilty until proven innocent?
[00:28:15.703 --> 00:28:18.944]  Well, this is the obvious danger of drunk tweeting.
[00:28:18.944 --> 00:28:22.966]  I really suggest people try to avoid drunk tweeting.
[00:28:22.966 --> 00:28:26.808]  Clearly, Nancy Pelosi has no understanding of the U.S.
[00:28:26.808 --> 00:28:27.788]  Constitution.
[00:28:27.788 --> 00:28:31.310]  The President has no obligation to prove his innocence.
[00:28:31.310 --> 00:28:36.212]  The government has to somehow seek to prove his guilt.
[00:28:36.212 --> 00:28:39.013]  And they have an extraordinarily weak case.
[00:28:39.013 --> 00:28:43.575]  A case that multiple federal prosecutors reviewed and rejected.
[00:28:43.575 --> 00:28:44.636]  It's an abomination.
[00:28:45.416 --> 00:28:47.157]  StoneZone.com.
[00:28:47.157 --> 00:28:48.118]  StoneZone.com.
[00:28:48.118 --> 00:28:51.980]  We're going to come right back with Roger Stone with more critical analysis.
[00:28:51.980 --> 00:28:52.901]  You will not get anywhere else.
[00:28:52.901 --> 00:28:56.843]  And then, Alan Dershowitz, Robert Barnes, Owen Schroyer.
[00:28:56.843 --> 00:29:00.105]  I'm Alex Jones.
[00:29:00.105 --> 00:29:05.448]  Ladies and gentlemen, we have a new toothpaste that my dad, a retired dentist and oral surgeon, developed.
[00:29:07.045 --> 00:29:11.050]  Dr. Jones Natural's Turmeric Toothpaste that just came into stock.
[00:29:11.050 --> 00:29:14.334]  And I gotta tell ya, I got samples of this months ago and it is amazing.
[00:29:14.334 --> 00:29:18.298]  The way it makes your gums feel, what it does to your mouth, is insane.
[00:29:18.298 --> 00:29:22.704]  We know turmeric is an antioxidant, an anti-inflammatory, and does such great things for the body.
[00:29:23.044 --> 00:29:26.486]  Then you add that with tea tree oil and a bunch of other essential oils.
[00:29:26.486 --> 00:29:27.687]  It is just dynamite.
[00:29:27.687 --> 00:29:32.270]  It is so good to detox and attack inflammation in your mouth.
[00:29:32.270 --> 00:29:36.533]  I want to challenge everybody to try the new toothpaste at InfoWarsTore.com.
[00:29:36.533 --> 00:29:39.255]  Dr. Jones Naturals Turmeric Toothpaste.
[00:29:39.255 --> 00:29:42.497]  And while you're at it, check out the new Ashwagandha line of products.
[00:29:42.497 --> 00:29:47.360]  We have Ashwagandha with black pepper extract for your libido, your testosterone, in pill form.
[00:29:47.600 --> 00:29:53.346]  And we have the Pure Ashwagandha Root Gummies as well, now available at InfoWarsTore.com.
[00:29:53.346 --> 00:29:55.848]  They're amazing products, and they fund the InfoWar.
[00:29:55.848 --> 00:29:59.732]  Take action now at InfoWarsTore.com.
[00:29:59.732 --> 00:30:01.754]  I'm a huge believer in information.
[00:30:01.754 --> 00:30:05.097]  I watch InfoWars every day and follow Alex Jones closely.
[00:30:05.097 --> 00:30:05.718]  You know why?
[00:30:05.718 --> 00:30:07.179]  He can put you ahead of the curve.
[00:30:07.179 --> 00:30:09.902]  And he's been demonized as a conspiracy theorist.
[00:30:10.779 --> 00:30:14.302]  Think about how frustrated we are if you've been awake for a year or two.
[00:30:14.302 --> 00:30:19.786]  Imagine being like an Alex Jones or those guys who've been awake for like decades.
[00:30:19.786 --> 00:30:22.768]  Alex has been right on for over a decade.
[00:30:22.768 --> 00:30:24.089]  This is reality.
[00:30:24.089 --> 00:30:25.470]  It just begs.
[00:30:25.470 --> 00:30:28.353]  And truth is stranger than fiction.
[00:30:28.353 --> 00:30:30.454]  The revolution of peaceful information is coming.
[00:30:30.454 --> 00:30:33.296]  And when it comes time, you people are going to be brought to punish.
[00:30:33.296 --> 00:30:34.517]  You're lying to the public.
[00:30:34.517 --> 00:30:35.538]  It's disgusting.
[00:30:35.538 --> 00:30:37.640]  The media continues to misrepresent
[00:30:38.180 --> 00:30:38.841]  What I've said.
[00:30:38.841 --> 00:30:41.865]  He may be America's best known conspiracy theorist.
[00:30:41.865 --> 00:30:45.851]  Alex Jones has the largest audience in the country.
[00:30:45.851 --> 00:30:47.813]  Bigger than any of the networks.
[00:30:47.813 --> 00:30:49.936]  The biggest megaphone in the country.
[00:30:49.936 --> 00:30:52.540]  We're gonna get fired up about the real things!
[00:30:52.540 --> 00:30:54.582]  The things that matter!
[00:30:57.833 --> 00:30:58.853]  Burn in hell, New World Order!
[00:31:14.918 --> 00:31:16.159]  What it does is essential.
[00:31:16.159 --> 00:31:17.880]  Go read about it at Infomercial.com.
[00:31:17.880 --> 00:31:20.981]  And now, the fourth toothpaste designed by my dad.
[00:31:20.981 --> 00:31:22.362]  The last two were big hits.
[00:31:22.362 --> 00:31:23.823]  This one is really special.
[00:31:23.823 --> 00:31:30.206]  It's turmeric concentrate with a bunch of other essential oils and so much more to take your mouth's health to the next level.
[00:31:30.206 --> 00:31:38.010]  We also have high quality ashwagandha root for your libido, your stamina, your testosterone with black pepper extract to accelerate it as a pill.
[00:31:38.010 --> 00:31:40.891]  And we have ashwagandha root gummies as well.
[00:31:40.891 --> 00:31:42.092]  Very strong, very powerful.
[00:31:42.572 --> 00:31:45.574]  Now, in stock at InfoWarsTore.com.
[00:31:45.574 --> 00:31:49.638]  Go there, experience these great products and others, and fund the InfoWar.
[00:31:49.638 --> 00:31:52.560]  The only way we fail is not taking action.
[00:31:52.560 --> 00:31:53.200]  God bless you.
[00:31:53.200 --> 00:31:58.445]  Now, please visit InfoWarsTore.com and experience these powerful products for yourself.
[00:32:01.388 --> 00:32:11.096]  Humanity is in a fight for its very life, and InfoWars, for decades, has been at the very forefront of the fight for a pro-human future.
[00:32:11.096 --> 00:32:14.779]  We can't stay on air without your help, and I want to thank you all for your past support.
[00:32:14.779 --> 00:32:22.265]  And I want to encourage those of you that have never bought products at InfoWarsTore.com to go there and experience how amazing these products really are.
[00:32:22.265 --> 00:32:26.028]  Ultimate Bone Broth, finally sold out for over two years, back in stock.
[00:32:26.508 --> 00:32:29.269]  Real Red Pill Plus, simply amazing.
[00:32:29.269 --> 00:32:31.529]  Nitric, boosts what it does for your heart.
[00:32:31.529 --> 00:32:33.249]  Cardiovascular, critical.
[00:32:33.249 --> 00:32:41.311]  All these products, like Ultimate Krill Oil, Ultimate Fish Oil, Supermelt Vitality, they're all available and in stock, ready to ship to you, right now on InfoWarsTore.com.
[00:32:41.311 --> 00:32:50.413]  And the final 1,200 signed copies of my book, The Great Reset and the War for the World, and I'm not gonna sign any more after that, are exclusively available at InfoWarsTore.com as well.
[00:32:50.413 --> 00:32:53.753]  In the last month, I got a little busy, so I didn't sign the books, we didn't have them for sale.
[00:32:53.753 --> 00:32:55.994]  But now, I signed the last books, you can get them right now.
[00:33:01.559 --> 00:33:07.446]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones!
[00:33:30.925 --> 00:33:36.148]  Yes, New York City is turning into a criminal soros run game.
[00:33:36.148 --> 00:33:39.310]  There is the District Attorney, Alvin Bragg.
[00:33:39.310 --> 00:33:47.856]  We just showed you some footage of him arriving at the courthouse last night.
[00:33:47.856 --> 00:33:50.257]  All right, ladies and gentlemen, final segment with Roger Stone.
[00:33:50.257 --> 00:33:53.780]  He'll obviously be on with us a lot because he's right in the center of the storm.
[00:33:53.780 --> 00:33:55.681]  We couldn't have a better expert on with us.
[00:33:55.681 --> 00:33:56.982]  Let me just say this very quickly.
[00:33:58.103 --> 00:34:02.899]  I've been so distracted with news and information lately, you notice I've barely been promoting products or plugging things and...
[00:34:03.683 --> 00:34:07.005]  I was talking to accountants this morning and they said, Jones, you're about to slip back in the red.
[00:34:07.005 --> 00:34:09.587]  You need to go to your audience and get the funds.
[00:34:09.587 --> 00:34:10.608]  And so I want to thank you all.
[00:34:10.608 --> 00:34:12.289]  Plus, these are great tools to wake people up.
[00:34:12.289 --> 00:34:14.350]  I want to thank you all that have been supporting.
[00:34:14.350 --> 00:34:28.179]  I want to encourage those of you that have been spreading the word and praying with the broadcast to continue that, but to also go to InfoWarshaw.com and get a unsigned copy of The Great Reset and War for the World or the fundraiser signed copy that is a donation to keep us on air.
[00:34:28.179 --> 00:34:29.200]  And there's only 400 or 300 or so.
[00:34:31.101 --> 00:34:34.962]  Sign copies left, and then I'm not going to do any more signed copies of this book.
[00:34:34.962 --> 00:34:36.823]  I'm going to do another limited edition book later.
[00:34:36.823 --> 00:34:43.305]  It's going to have a few more chapters in it, and we're going to put a piece of art in it with a signature, but that's going to be even more limited edition.
[00:34:43.305 --> 00:34:47.166]  Your last chance to get just the simple signed book to be part of the fundraiser.
[00:34:47.166 --> 00:34:51.427]  Also, I misunderstood them.
[00:34:51.427 --> 00:34:52.608]  I was told we'd gotten 5,000 t-shirts.
[00:34:54.912 --> 00:35:02.694]  And that we were about to sell out on Monday of Alex Jones for President, which is a way to have talk and meet like-minded people and spread the word.
[00:35:02.694 --> 00:35:05.354]  Not seriously running for president, but it's just a fun shirt.
[00:35:05.354 --> 00:35:06.295]  Very good looking shirt.
[00:35:06.295 --> 00:35:09.855]  Navy blue with Alex Jones for President 2024 on the back.
[00:35:09.855 --> 00:35:11.036]  Infowars.com.
[00:35:11.036 --> 00:35:16.217]  It was the fact that we had 5,000 larges and extra larges, which is what we mainly sell.
[00:35:16.217 --> 00:35:17.257]  Those are almost sold out.
[00:35:17.777 --> 00:35:24.268]  We do have smalls, mediums, and triple X large, but we're almost out of large and extra large, but more coming in a few weeks.
[00:35:24.268 --> 00:35:27.975]  If you want to get the shirt, it's available right now and it keeps us on air.
[00:35:27.975 --> 00:35:30.759]  It's made of a very nice fabric, very high quality, and it's a fundraiser.
[00:35:31.966 --> 00:35:32.587]  We're doing it!
[00:35:52.515 --> 00:36:02.262]  But we are your warriors fighting for you, fighting for ourselves, fighting for our families, and we need everybody to step up and certainly share the articles and videos because we're not doing this to lose.
[00:36:02.262 --> 00:36:04.043]  We are winning hearts and minds.
[00:36:04.043 --> 00:36:05.965]  The globalist-owned documents leak all the time.
[00:36:05.965 --> 00:36:09.327]  They admit they're losing control globally and or domestically.
[00:36:09.327 --> 00:36:14.191]  That's why they're doing things nobody's ever done before in this country because they're desperate.
[00:36:14.191 --> 00:36:19.495]  Now, Roger, I want to raise this point to you and then get your breakdown of it and then how you see this unfolding.
[00:36:20.609 --> 00:36:24.973]  They're losing so bad with this in the polls, it's blown up completely in their face.
[00:36:24.973 --> 00:36:28.637]  It's causing the entire Republican structure to line up behind Trump.
[00:36:28.637 --> 00:36:33.542]  As you said, he's up 25-30 points now and he was dead heat a month ago with DeSantis.
[00:36:33.542 --> 00:36:37.766]  And this, new polls are coming out showing him shooting up even higher.
[00:36:37.766 --> 00:36:44.993]  Everybody knows he's a martyr, everybody knows Biden's a pedophile and his son's a pedophile and Chinese agents and the Hunter laptop and all of it.
[00:36:46.580 --> 00:36:48.240]  I can sit back, I know the enemy's playbook.
[00:36:48.240 --> 00:36:56.542]  There's no way without them setting off truck bombs and blaming it on us, or a mass shootings or a race attack or something, that this is going to work for them.
[00:36:56.542 --> 00:37:00.403]  So I see the next card being staged violence to be blamed on us.
[00:37:00.403 --> 00:37:01.343]  A, do you agree with that?
