[00:00:09.386 --> 00:00:13.140]  You're gonna pay somewhere between 20% and 40% less than those other countries.
[01:50:27.108 --> 01:50:37.519]  Now, traditionally, these platforms, these companies, have said that they're not monitoring these recordings, and they're not keeping them for a long period of time, or they're only a few seconds at a time, and it's come out.
[01:50:37.519 --> 01:50:39.121]  I think there have been data breaches.
[01:50:39.121 --> 01:50:44.646]  It's been a minute since this has broken in the news, but I believe Amazon had one fairly recently, like within the last couple of years, where
[01:50:45.447 --> 01:50:46.829]  I don't know.
[01:51:01.849 --> 01:51:10.734]  There's so much data, so much being recorded that there's been no way for anybody to actively monitor these recordings, right?
[01:51:10.734 --> 01:51:16.098]  So, they would have a human being monitor recordings, perhaps if certain keywords were triggered?
[01:51:17.109 --> 01:51:24.917]  Or if you were a person who was on a list as a potential threat, then they may actively monitor these recordings.
[01:51:24.917 --> 01:51:35.107]  However, we're getting to a point with the advancement of quantum computing and artificial intelligence that we won't need, or not we, I should say they, won't need
[01:51:35.788 --> 01:51:58.324]  Human beings actively monitoring the recordings that are being made by the smart devices in your home, whether it's your refrigerator, whether it's your television, whether it's your car, whether it's your phone, because the artificial intelligence can not only monitor it and scan for keywords, but now it's gotten to a point where it can actually monitor it and interpret it
[01:51:58.524 --> 01:51:58.924]  We're good to go.
[01:52:22.438 --> 01:52:22.959]  We're good to go.
[01:52:41.435 --> 01:52:48.100]  And as long as the government is, you know, super just and moral, then maybe these tools could be used for good.
[01:52:48.100 --> 01:52:52.923]  But we know that every single genocide that's ever happened in the history of the world has been at the hands of a government.
[01:52:54.616 --> 01:52:55.177]  We're good to go.
[01:53:15.188 --> 01:53:26.075]  And we know that we see the Biden administration on television talking about how the greatest threat to national security is white supremacy or domestic terrorism.
[01:53:26.075 --> 01:53:31.578]  And we have the intelligence community coming out with a list of signs that someone is a radical, dangerous extremist.
[01:53:31.578 --> 01:53:34.700]  And those signs are things like the don't tread on me Gadsden flag.
[01:53:36.288 --> 01:53:50.840]  When you marry all these factors together, then you realize, oh my God, they're going to use all this technology to A, label me as an extremist or domestic terrorist so I don't have any rights, and then B, persecute me for my political beliefs.
[01:53:52.253 --> 01:54:02.607]  If you think what's happening to Alex Jones is bad, or if you think what's happening to Owen Schreier is bad, or what's happening to Russell Brand is bad, just wait till you see what they do to your neighbor!
[01:54:02.607 --> 01:54:05.451]  Because they start with the influencers, to set an example.
[01:54:05.451 --> 01:54:07.193]  They start with the people that swing
[01:54:07.193 --> 01:54:07.653]  Something heavy.
[01:54:07.653 --> 01:54:09.514]  They've got a real strong punch, right?
[01:54:09.514 --> 01:54:16.096]  They get real frustrated when Alex says something more than when your neighbor says something because Alex has millions upon millions of listeners, so they're going to go after him first.
[01:54:16.096 --> 01:54:18.277]  But it's not going to stop there, folks.
[01:54:18.277 --> 01:54:29.280]  When Trump said, it's not me they're after, it's you, I'm just in the way, that was perhaps the most true political statement, political slogan in the history of political slogans in the United States of America.
[01:54:29.280 --> 01:54:30.521]  And they are coming after you.
[01:54:31.161 --> 01:54:40.264]  And that's why it's more important than ever to fight back and to speak out, because those who stand by quietly and allow this to happen are complicit.
[01:54:40.264 --> 01:54:41.845]  I know the left says silence is violence.
[01:54:41.845 --> 01:54:49.908]  I'm not saying that you're evil because you're quiet, but I'm saying that cowardice is exploited, so don't be a coward.
[01:54:49.908 --> 01:54:55.530]  I know you're afraid of losing your job or losing your friends if you post too much on social media about what your political beliefs are.
[01:54:55.530 --> 01:54:56.551]  I've lost my friends.
[01:54:56.551 --> 01:55:00.012]  I've lost clients over what my political beliefs are, but I'm telling you right now,
[01:55:01.089 --> 01:55:28.225]  The danger of not saying anything, the danger of not doing anything is so much greater than the danger or the risks of speaking out now, because these tools are coming in place, the stars are aligning, and the government is positioning itself for total control over thought, total control over speech, total control over action, and total control over property.
[01:55:28.225 --> 01:55:29.746]  And if we don't fight back now,
[01:55:31.590 --> 01:55:33.030]  It's gonna be too late.
[01:55:33.030 --> 01:55:35.231]  But it's not too late yet.
[01:55:35.231 --> 01:55:38.732]  There are still people fighting.
[01:55:38.732 --> 01:55:41.993]  There are still voices speaking.
[01:55:41.993 --> 01:55:43.854]  Whether it's the James O'Keefe's.
[01:55:43.854 --> 01:55:46.735]  Whether it's this Christine Anderson, the German MEP.
[01:55:48.339 --> 01:55:54.241]  Whether it's Alex Jones, whether it's Owen Schroer, whether it's Joe Rogan, there are still people that are speaking out.
[01:55:54.241 --> 01:56:03.244]  There are still people that are waging this war for freedom, but you can't just rely on people with 150,000 followers to win this.
[01:56:03.244 --> 01:56:04.524]  It's got to be you.
[01:56:04.524 --> 01:56:05.364]  You've got to repost.
[01:56:05.364 --> 01:56:06.345]  You've got to share the show.
[01:56:06.345 --> 01:56:07.505]  You've got to share the links.
[01:56:07.505 --> 01:56:08.545]  You've got to share it with friends.
[01:56:08.545 --> 01:56:10.226]  You've got to say what you actually think.
[01:56:10.226 --> 01:56:11.706]  Do it respectfully.
[01:56:11.706 --> 01:56:13.187]  Do it coherently.
[01:56:13.187 --> 01:56:16.388]  Do it in a way that is credible and reputable and honorable.
[01:56:17.284 --> 01:56:19.746]  But share if you care.
[01:56:19.746 --> 01:56:21.587]  Send people to InfoWarsStore.com.
[01:56:21.587 --> 01:56:23.028]  Send people to InfoWars.com.
[01:56:23.028 --> 01:56:24.249]  It's the best place to get the news.
[01:56:24.249 --> 01:56:32.154]  You know, I was talking to my dad the other day, and I was like, hey, I'm more well-informed now, since I started working at InfoWars, than I've ever been.
[01:56:32.154 --> 01:56:36.077]  And my dad's a right-wing guy, an InfoWars supporter, and he says, yeah, but you're only seeing one side of the story.
[01:56:36.077 --> 01:56:36.377]  I'm like, no.
[01:56:36.377 --> 01:56:37.457]  No, no.
[01:56:37.457 --> 01:56:42.321]  At InfoWars, we don't only see one side of the story, because we cover what everybody else is saying.
[01:56:43.320 --> 01:56:48.182]  If you work at Infowars, you see the CNN article and the response to the CNN article.
[01:56:48.182 --> 01:56:49.203]  You see what Fox is saying.
[01:56:49.203 --> 01:56:50.484]  You see what Newsmax is saying.
[01:56:50.484 --> 01:56:52.264]  You see what MSNBC is saying.
[01:56:52.264 --> 01:56:54.385]  You see what NBC is saying.
[01:56:54.385 --> 01:56:58.027]  Every single network you can imagine, we see it, we read it, and we respond to it.
[01:56:58.027 --> 01:57:05.391]  We follow the narrative because it is the medium through which the enemy speaks to us and tries to manipulate us and tries to overpower us.
[01:57:06.471 --> 01:57:13.917]  So, if you're listening to InfoWars, you are not only getting one side of the story, you're being presented with the narrative, and then you're presented with a counter-argument.
[01:57:13.917 --> 01:57:17.579]  That's not one side of the story, but if you watch CNN, you're certainly getting one side of the story.
[01:57:17.579 --> 01:57:19.581]  You're getting the stage side of the story.
[01:57:19.581 --> 01:57:26.466]  They're not covering what InfoWars says, they're just covering what false allegations are being waged against InfoWarriors.
[01:57:27.625 --> 01:57:30.287]  If you follow Fox, they're not following what Tucker says.
[01:57:30.287 --> 01:57:31.808]  They're just firing them, right?
[01:57:31.808 --> 01:57:35.651]  So InfoWars is by far and away the best place to get your news, to get your truth.
[01:57:35.651 --> 01:57:36.691]  Stay with us, folks.
[01:57:36.691 --> 01:57:40.074]  We will be back after this segment with the next two hours of the show.
[01:57:40.074 --> 01:57:44.057]  Make sure you visit InfoWarsStore.com and keep us on air today.
[01:57:44.057 --> 01:57:44.837]  Thank you so much for having me.
[01:57:44.837 --> 01:57:45.618]  It was an honor and a pleasure.
[01:57:49.167 --> 01:57:50.468]  Bodies is back!
[01:57:50.468 --> 01:57:57.873]  The ultimate tumeric product on the market has returned to m4store.com and is now 25% off for a limited time.
[01:57:57.873 --> 01:58:03.256]  Utilized for thousands of years, tumeric is one of the most studied medicinal herbs today.
[01:58:03.256 --> 01:58:10.901]  Hundreds of peer-reviewed scientific articles are published every year on the chemistry and therapeutic potential of tumeric and its active components.
[01:58:11.101 --> 01:58:22.111]  Turmeric bodies will reduce inflammation throughout the body, help boost and support flexibility, increase mobility, assist in joint function, bolster your immune system, and so much more.
[01:58:22.111 --> 01:58:33.882]  Regular turmeric from the store contains about 1-5% of the active ingredient curcuminoids, but our super powerful extract using bodies contains over 95% of the active ingredients in turmeric.
[01:58:34.042 --> 01:58:35.703]  I talk a lot about the great successes InfoWars has had.
[01:58:35.703 --> 01:58:36.763]  I don't think anybody can deny it.
[01:58:36.763 --> 01:58:38.584]  And it is because of listeners and viewers supporting us.
[01:58:38.584 --> 01:58:41.665]  When we talk about the crew at InfoWars, people behind the scenes, the researchers, the writers,
[01:59:04.537 --> 01:59:08.078]  They really have been the MVPs in this fight.
[01:59:08.078 --> 01:59:14.981]  And we look at Harrison Smith and Owen Schroer and the hard work they engage in every day, five, six, seven days a week.
[01:59:14.981 --> 01:59:16.902]  It's really just incredible.
[01:59:16.902 --> 01:59:19.783]  So for myself and the whole InfoWars crew, I thank you for your past support.
[01:59:19.783 --> 01:59:25.486]  I only encourage you now to realize that InfoWars cannot stay on air if you do not support us.
[01:59:26.326 --> 01:59:27.287]  I know you spread the word.
[01:59:27.287 --> 01:59:28.788]  I know you pray for us, and that's wonderful.
[01:59:28.788 --> 01:59:29.368]  Keep doing it.
[01:59:29.368 --> 01:59:38.295]  But most viewers and listeners never go to infowarstore.com, and you never buy great products that enrich and empower your life, all at the same time keeping us on air.
[01:59:38.295 --> 01:59:42.619]  I know that less than 1% of our listeners actually go buy products at infowarstore.com.
[01:59:42.619 --> 01:59:47.202]  If just 1% more of you took action and went to infowarstore.com, our funding problems will be over.
[01:59:52.351 --> 01:59:56.268]  If you are receiving this transmission, you are the resistance.
