[00:00:00.970 --> 00:00:02.570]  150 billion for Ukraine.
[00:29:30.455 --> 00:29:50.906]  That there is an agenda behind and my best rational thinking is that China's involvement in the war in Ukraine and backing Russia and geopolitically aligning with Russia now is the reason why the US media and the US government wants to blame China for the lab leak.
[00:29:51.427 --> 00:29:53.468]  Now, think about how disgusting this is.
[00:29:55.814 --> 00:30:05.819]  They knew at the time it came out of Wuhan and they covered it up because Fauci's involvement, the NIH's involvement, which we have all the proof of, by the way.
[00:30:06.079 --> 00:30:07.820]  I'll get into it with the news stories we have today.
[00:30:08.140 --> 00:30:12.123]  They knew it for three years, now they want to report on it.
[00:30:12.143 --> 00:30:12.203]  Why?
[00:30:13.303 --> 00:30:17.285]  Because they're in a geopolitical standoff with China over the war in Ukraine.
[00:30:17.605 --> 00:30:31.433]   Not because they actually care about the origins, not because they actually want China to have to pay for it, But because they're in a geopolitical face-off with China and Ukraine now, and so now they're going to tell you about the Wuhan lab leak.
[00:30:31.913 --> 00:30:33.994]  Now they're going to tell you about COVID-19.
[00:30:36.074 --> 00:30:41.076]  And these Democrats and the American media are so corrupt.
[00:30:41.376 --> 00:30:49.259]  I don't even know how you can possibly analyze this any better than Tucker Carlson did.
[00:30:49.299 --> 00:30:54.202]   I mean, he could do a three-hour presentation on I mean, seriously.
[00:30:54.222 --> 00:30:58.305]  3 hours, 6 hours, 10 hours, 24 hours?
[00:30:58.925 --> 00:31:12.152]  How much content could you compile and put together of the mainstream media and the US government telling you it did not come out of a Wuhan lab?
[00:31:13.013 --> 00:31:16.855]  They scolded Donald Trump for suggesting it came out of Wuhan.
[00:31:18.143 --> 00:31:22.606]  They sent their members to press conferences saying, don't say it came out of Wuhan.
[00:31:22.646 --> 00:31:23.667]  It didn't come out of Wuhan.
[00:31:23.987 --> 00:31:25.829]  The American media scolding you.
[00:31:26.949 --> 00:31:28.490]  Big tech censoring you.
[00:31:28.991 --> 00:31:30.892]  You're not allowed to say it came out of China.
[00:31:31.252 --> 00:31:33.994]  You're not allowed to talk about the Wuhan lab leak theory.
[00:31:34.415 --> 00:31:35.395]  It's fake news.
[00:31:35.595 --> 00:31:36.296]  It's false.
[00:31:36.456 --> 00:31:37.077]  You're banned.
[00:31:37.137 --> 00:31:37.877]  You're censored.
[00:31:37.957 --> 00:31:38.558]  You're bad.
[00:31:40.009 --> 00:31:43.572]  Oh, now three years later, they're all telling you it came out of Wuhan.
[00:31:43.832 --> 00:31:47.255]  The same people that censored you for saying it came out of Wuhan.
[00:31:47.535 --> 00:31:50.858]  The same people that called you a liar for saying it came out of Wuhan.
[00:31:51.218 --> 00:31:52.439]  For years!
[00:31:53.380 --> 00:31:54.641]  And they have no shame.
[00:31:55.281 --> 00:31:57.083]  They have no shame at all.
[00:31:57.123 --> 00:31:58.324]  They have no spine.
[00:31:58.704 --> 00:31:59.685]  They have no soul.
[00:32:00.425 --> 00:32:14.459]   They are completely corrupted that they can now tell you with a straight face That COVID-19 came out of a Wuhan lab when for three years they said it didn't, and that was a lie, and you should be censored if you say that.
[00:32:14.559 --> 00:32:16.761]  And if you're a doctor, you should have your license removed.
[00:32:18.823 --> 00:32:25.630]  And with no shame, they go up with a straight face now and tell you that it came out of a Wuhan lab.
[00:32:27.391 --> 00:32:34.919]   Now, there's all kinds of different angles to this because How can they walk this tightrope without burning their own?
[00:32:35.419 --> 00:32:41.481]  How can they report on the Wuhan lab now without burning Anthony Fauci?
[00:32:41.501 --> 00:32:44.902]  How can they report on the Wuhan lab now without burning the NIH?
[00:32:44.922 --> 00:32:48.483]  How can they report on the Wuhan lab now without burning the EcoHealth Alliance?
[00:32:49.724 --> 00:33:09.416]   Peter Daszak, Bill Gates, Barack Obama, and everybody else that was involved with the Wuhan Institute of Virology doing gain-of-function research that now they say led to the largest pandemic in world history.
[00:33:09.656 --> 00:33:17.521]  How are they going to walk that tightrope of not taking the blame and the punishment themselves while they're admitting it now?
[00:33:17.541 --> 00:33:22.005]  Alright, we're going to start looking at these headlines now as the narrative changes.
[00:33:23.095 --> 00:33:25.036]  No, it didn't come out of a Wuhan lab!
[00:33:25.136 --> 00:33:26.116]  No, no!
[00:33:26.496 --> 00:33:27.276]  How dare you?
[00:33:27.336 --> 00:33:30.417]  You're silenced, you're censored, you're a racist!
[00:33:31.097 --> 00:33:32.898]  It came out of a Wuhan lab in China.
[00:33:32.958 --> 00:33:33.678]  China bad.
[00:33:35.939 --> 00:33:40.200]  Now, this is breaking right now, before I get into these headlines.
[00:33:41.501 --> 00:33:42.601]  A massive fire.
[00:33:43.461 --> 00:33:46.442]  Yes, the domestic disasters continue.
[00:33:47.102 --> 00:33:49.383]  The infrastructure collapse continues.
[00:33:50.743 --> 00:33:52.684]  We told you this would be the story for the year.
[00:33:53.720 --> 00:33:56.601]  We told you this would be the trend for the year and now it's every day.
[00:33:56.681 --> 00:34:00.503]  What new domestic disaster is going to come across the news feed?
[00:34:01.104 --> 00:34:06.826]  Massive fire at a metal processing plant in Ohio.
[00:34:08.287 --> 00:34:13.670]  And it's actually a giant facility that's a supplier of metals for the entire planet.
[00:34:15.671 --> 00:34:19.813]  So it's just every day a new fire, every day infrastructure collapsing.
[00:34:21.042 --> 00:34:22.864]  And so that story is breaking right now.
[00:34:23.724 --> 00:34:26.706]  We have the footage, but it's not on the screen, but you can see it.
[00:34:28.348 --> 00:34:29.208]  There it is right there.
[00:34:30.129 --> 00:34:32.751]  This is just outside of Cleveland.
[00:34:32.911 --> 00:34:37.455]  Many different angles of this metal plant on fire.
[00:34:39.036 --> 00:34:39.676]  So there you go.
[00:34:39.736 --> 00:34:41.638]  It's a new domestic disaster every day.
[00:34:41.678 --> 00:34:43.179]  You're in the dystopian future.
[00:34:43.219 --> 00:34:44.740]  You're in the new world order.
[00:34:44.800 --> 00:34:48.525]   You're in Democrat Run America.
[00:34:48.685 --> 00:34:51.428]  This is just the new normal.
[00:34:53.089 --> 00:34:55.491]  This is just the new normal for you.
[00:34:56.232 --> 00:35:03.378]  And they think that the people are so stupid that they can say, nope, didn't come out of China, you're a racist.
[00:35:03.959 --> 00:35:10.685]  If you say that, that's fake news to them telling you it came out of China and acting like it wasn't them telling you it didn't.
[00:35:11.806 --> 00:35:12.627]  Now here's some of the headlines.
[00:35:15.370 --> 00:35:19.792]  Where are the anti-Big Pharmaceutical liberals out there?
[00:35:21.412 --> 00:35:25.694]  It's funny, as soon as they realize they're a hypocrite, they just act like they were never something.
[00:35:27.395 --> 00:35:32.637]  I remember going around in 2015 and interviewing liberals that were anti-Big Pharma.
[00:35:33.905 --> 00:35:38.086]  Because one of their big reasons they supported Bernie Sanders was he didn't take money from Big Pharma.
[00:35:38.146 --> 00:35:39.667]  Now, actually, that wasn't true.
[00:35:39.967 --> 00:35:42.208]  Bernie Sanders did take millions of dollars from Big Pharma.
[00:35:42.768 --> 00:35:43.928]  But they believed he didn't.
[00:35:44.369 --> 00:35:49.730]  And when I brought it up and I showed them, hey, actually, Bernie Sanders did take money from Big Pharma, they got really sour.
[00:35:49.970 --> 00:35:54.972]  Because being anti-Big Pharma used to be a big leftist, progressive, Democrat stance.
[00:35:55.972 --> 00:35:57.373]  But now Big Pharma owns them.
[00:35:57.953 --> 00:35:59.714]  And so they love the Big Pharma.
[00:36:00.434 --> 00:36:03.115]  So I'm guessing they won't be complaining about this.
[00:36:05.353 --> 00:36:16.015]  Dr. Anthony Fauci increased personal wealth from $7.6 million to $12.6 million during the pandemic, a 65% increase in wealth.
[00:36:16.516 --> 00:36:17.896]  And this is mainstream news, folks.
[00:36:19.356 --> 00:36:32.497]   And an investigator, Adam Asdrujewski, who's been investigating Fauci's finances, was breaking this down on Fox Business.
[00:36:32.597 --> 00:36:36.100]  Where are the audits into Anthony Fauci's riches?
[00:36:37.482 --> 00:37:07.098]   Remember, it was Rand Paul that asked Fauci, and this story broke last week, actually, that, and I don't think I have it on my stack today, but last week, Pfizer And other big pharmaceutical companies were giving hundreds of millions of dollars in kickbacks to Fauci's programs inside the NIH or whatever government bureaucracies he was running.
[00:37:07.778 --> 00:37:11.520]  Hundreds of millions of dollars from big pharma in kickbacks.
[00:37:14.542 --> 00:37:15.022]  Wow.
[00:37:16.123 --> 00:37:16.403]  Wow.
[00:37:17.622 --> 00:37:19.663]  What an amazing, what an amazing feat.
[00:37:20.403 --> 00:37:51.826]   Fauci helps fund and operate a lab that designs a virus that is extremely contagious that comes out of the lab and then Fauci assumes more power he's ever had in his life once his virus gets released and then Fauci gets to tell you what protocols to follow which he tells you to take his drug And then he tells you, you gotta take a vaccine if you want to go back to having your life and opening your business.
[00:37:52.686 --> 00:37:55.907]  Which he gets kickbacks from the companies that make the vaccine.
[00:37:55.947 --> 00:38:02.590]  I mean, this is as criminal as it gets, as cut and dry, criminally obvious as it can possibly get, but...
[00:38:03.973 --> 00:38:09.174]  He gets protected by the mainstream media, and the government's not interested in auditing his wealth.
[00:38:09.234 --> 00:38:16.956]  They're gonna come for your bartender, your waitress down the street, because they're getting paid in tips and cash in the IRS.
[00:38:16.996 --> 00:38:18.836]  Well, they gotta get their cut.
[00:38:19.076 --> 00:38:19.236]  See?
[00:38:20.417 --> 00:38:21.537]  Government's gotta get their cut.
[00:38:25.638 --> 00:38:30.979]  FDA advisors recommend world's first RSV vaccine from Pfizer.
[00:38:32.731 --> 00:38:33.432]  So, don't you see?
[00:38:33.452 --> 00:38:38.216]  Pfizer pays off the government, and then the government makes you take a Pfizer product.
[00:38:38.236 --> 00:38:40.978]  Is that fascism?
[00:38:41.038 --> 00:38:41.818]  Is that collusion?
[00:38:42.639 --> 00:38:44.060]  Or is that just liberal?
[00:38:45.101 --> 00:38:53.328]  Six-time vaccinated, mask-obsessed doctor, confused by being reinfected with COVID every time she gets a vaccine.
[00:38:55.149 --> 00:39:00.474]  I shouldn't laugh, it's sad, but I mean... At a certain level, it's like, if you can't figure it out, well, you know...
[00:39:03.203 --> 00:39:04.084]  Nothing I can do for you.
[00:39:04.804 --> 00:39:12.128]  mRNA vaccines contain DNA that can turn human cells into permanent spike protein factories according to a new study.
[00:39:13.329 --> 00:39:23.655]  The mRNA COVID vaccines from Pfizer and Moderna contain billions of particles of self-replicating DNA that can turn human cells into permanent factories for the COVID-19 spike protein.
[00:39:24.556 --> 00:39:30.860]  Ah yes, also reported by InfoWars three years ago with our great doctor guests telling us exactly this would happen.
[00:39:32.403 --> 00:39:34.104]  Take that vaccine though, safe and effective.
[00:39:34.685 --> 00:39:35.786]  Take that vaccine.
[00:39:36.406 --> 00:39:37.467]  It's mandatory!
[00:39:37.947 --> 00:39:39.088]  And they gave you that little card.
[00:39:39.108 --> 00:39:39.889]  Remember that little card?
[00:39:39.969 --> 00:39:43.191]  I mean, they really wanted you to... They wanted to kill you with that thing.
[00:39:43.552 --> 00:39:47.174]  They wanted you to take 6, 7, 8, 9, 10 of these things until your heart blows up.
[00:39:47.595 --> 00:39:49.896]  Until you become a spike protein virus factory.
[00:39:51.678 --> 00:39:54.680]  And, uh... Well, they didn't get what they wanted.
