[00:00:00.229 --> 00:00:01.190]  Ukraine's losing.
[00:25:43.723 --> 00:25:50.783]   Russia is opposing it to many facets and areas, but really not completely,
[00:25:50.783 --> 00:25:54.124]   and is just as leftist and shot up and infiltrated as we are.
[00:25:54.124 --> 00:25:57.124]   So Russia's not gonna save us, the US isn't gonna save us,
[00:25:57.124 --> 00:26:00.843]  God's gonna save us in our personal relationship with God.
[00:26:00.843 --> 00:26:03.364]   That said, the globalists brag, they started the war,
[00:26:03.364 --> 00:26:06.562]   they overthrew the government, they started trying to push the Russian people
[00:26:06.562 --> 00:26:11.163]   out of Ukraine, and Russia responded because it's in their heartland,
[00:26:12.283 --> 00:26:17.082]   and the quicker this war is over, the better, and Putin has not been expansion-tory,
[00:26:17.082 --> 00:26:22.963]   expansion-tory, has not been expansionist, expansionist, Putin has not been expansionist.
[00:26:23.364 --> 00:26:31.968]  And so I believe that after this is stabilized, Russia will then move forward with industrial expansion, not military expansion.
[00:26:32.028 --> 00:26:34.309]  I'm all for Russia becoming stable.
[00:26:35.535 --> 00:26:36.135]  And successful.
[00:26:36.516 --> 00:26:38.396]  And I want Mexico to be stable and successful.
[00:26:38.837 --> 00:26:41.458]  And I want Brazil to be successful and stable.
[00:26:41.518 --> 00:26:42.578]  And I want Africa.
[00:26:43.039 --> 00:26:43.999]  I want Nigeria.
[00:26:44.019 --> 00:26:44.839]  And I want Libya.
[00:26:44.879 --> 00:26:46.340]  And I want South Africa to be stable.
[00:26:46.560 --> 00:26:48.461]  And I want Japan and China to be stable.
[00:26:48.861 --> 00:26:50.562]  And I want Germany to be stable.
[00:26:50.602 --> 00:26:51.563]  And France to be stable.
[00:26:51.603 --> 00:26:52.543]  And Canada to be stable.
[00:26:52.963 --> 00:26:54.044]  I mean, come on, folks.
[00:26:54.104 --> 00:26:55.144]  We're all humans here.
[00:26:55.725 --> 00:26:57.205]  We're all on one planet together.
[00:26:57.225 --> 00:26:59.446]  We've got plenty of resources, incredible ideas.
[00:27:00.067 --> 00:27:02.468]  And we can just go to the stars together.
[00:27:03.590 --> 00:27:12.933]  Instead of running around like a bunch of idiots allowing a ruling class to create crises to pose as our saviors and use crisis management as the pretext to dominate and control.
[00:27:14.113 --> 00:27:16.314]  And try to limit resources to we the people.
[00:27:16.334 --> 00:27:20.615]  Because they're not trying to get rid of toxic technology.
[00:27:20.715 --> 00:27:26.977]  They're trying to get rid of technology that works and create a collapsed civilization because they compete with wealth.
[00:27:27.557 --> 00:27:31.218]  They want to make us poor so they can dictate the terms of our surrender.
[00:27:32.259 --> 00:27:33.980]  All right, we are going to go to break.
[00:27:34.861 --> 00:27:35.761]  We're going to come back.
[00:27:37.462 --> 00:27:41.605]  But they are definitely getting ready to blame Zelensky for the failure in Ukraine.
[00:27:42.425 --> 00:27:44.407]  Or, oh, I didn't hit the most important point.
[00:27:44.427 --> 00:27:46.408]  I forgot one key part of this when we come back.
[00:27:47.308 --> 00:28:01.037]  Zapo Royskaya, that's a mouthful, the biggest nuclear power plant in Europe, some argue the biggest in the world, has been evacuated by the Russians who took it a year and a half ago.
[00:28:03.451 --> 00:28:07.874]  And Zelensky has been saying the Russians are going to blow it up with no evidence.
[00:28:07.894 --> 00:28:20.941]  Remember, he shot missiles into Poland last year and blamed Russia, but the Poles had NATO anti-missile defense systems and shot both down, so they got the damn tell numbers off of them.
[00:28:20.981 --> 00:28:25.203]  And they've been fired by Zelensky on purpose, clearly, from the trajectory.
[00:28:25.243 --> 00:28:26.484]  They weren't accidental missiles.
[00:28:26.804 --> 00:28:27.745]  He fired them in.
[00:28:29.132 --> 00:28:34.010]   to blame the Russians and demanded, even when the polls came out and said it was not the Russians,
[00:28:34.010 --> 00:28:38.730]   he went, "I want you to attack NATO, attack now, use nukes if needed."
[00:28:38.730 --> 00:28:43.532]   And then out came that crazy, low IQ vegetable, and I've met him, I know him,
[00:28:43.532 --> 00:28:54.651]   to say, "We need to have nuclear war and we shouldn't be against nuclear war."
[00:28:56.572 --> 00:28:58.811]  And I guess calling him a vegetable makes me a vegetable.
[00:28:58.900 --> 00:28:59.521]  What's his name?
[00:29:01.443 --> 00:29:02.764]  Fast Times at Ridgemont High.
[00:29:04.265 --> 00:29:04.886]  Harvey Milk.
[00:29:05.747 --> 00:29:06.748]  He's been in a bunch of movies.
[00:29:06.788 --> 00:29:07.428]  He's an idiot.
[00:29:08.169 --> 00:29:08.750]  Sean Penn.
[00:29:09.831 --> 00:29:09.931]  Yeah.
[00:29:10.652 --> 00:29:22.955]  I mean, I've got Hollywood so dialed out of my brain, folks, I don't even... I mean, I got nuclear reactors names on my mind, and what's happening in South Africa, you know, and the riots and mass murder.
[00:29:22.975 --> 00:29:27.256]  I mean, I just, it's just... But we played the clips where he's like, what's wrong with nuclear war?
[00:29:27.516 --> 00:29:28.397]  It's got to be on the table.
[00:29:28.757 --> 00:29:29.577]  We can survive one.
[00:29:30.977 --> 00:29:32.838]  Hey, Sean, go jump off a cliff, buddy.
[00:29:33.078 --> 00:29:33.678]  Burn in hell.
[00:29:34.678 --> 00:29:35.258]  You idiot.
[00:29:36.119 --> 00:29:37.219]  Two moron actors.
[00:29:39.096 --> 00:29:45.218]  And I tell you, I take real pleasure watching Zelensky sink, and watching his bosses turn on him.
[00:29:45.238 --> 00:29:46.659]  But remember, the bosses are the main enemies.
[00:29:47.219 --> 00:29:52.440]  So let me finish the point about the ZAF-POH-ROZH-SKYA reactor.
[00:29:52.460 --> 00:29:54.721]  I know I'm butchering that.
[00:29:56.302 --> 00:29:59.643]  Z-A-H-P-O-H-R-O-Z-H-S-K-Y-A.
[00:30:02.028 --> 00:30:04.649]  He keeps saying that it's going to be blown up by the Russians.
[00:30:04.689 --> 00:30:08.851]  So, Ukraine's losing, NATO looks bad, Russia hasn't escalated.
[00:30:09.351 --> 00:30:09.851]  What do they do?
[00:30:09.891 --> 00:30:10.911]  They stage a false flag.
[00:30:10.951 --> 00:30:14.933]  And I don't know if it's going to be blowing up a bridge or blowing up a pipeline and blaming the Russians.
[00:30:14.973 --> 00:30:15.673]  We've already seen that.
[00:30:16.073 --> 00:30:20.515]  I don't know if it's going to be blowing up the nuclear power plant.
[00:30:20.735 --> 00:30:28.238]  But I'm telling you, the globalists, or some of the factions of the globalists, are crazy enough to do it.
[00:30:29.770 --> 00:30:35.914]  But it looks like they're testing the waters to flush him down the toilet and end this war.
[00:30:36.074 --> 00:30:39.516]  And that would be a very good thing.
[00:30:42.418 --> 00:30:43.379]  An extremely good thing.
[00:30:43.859 --> 00:30:46.921]  Okay, let's now shift gears into this.
[00:30:48.762 --> 00:30:51.604]  And you talk about trying to do justice to something.
[00:30:53.085 --> 00:31:03.947]   Everything we cover now is so bizarre and so over-the-top and so insane that It feels like a lie when you're saying it.
[00:31:04.347 --> 00:31:05.168]  I mean, does that make sense?
[00:31:07.188 --> 00:31:08.869]  Like, this doesn't sound real.
[00:31:10.629 --> 00:31:29.525]   It doesn't sound real that a month ago, Obama ordered the federal government, that's since the president is Obama, ordered the federal government to stop taking DNA from unaccompanied children and babies and
[00:31:29.525 --> 00:31:36.974]   then people that are accompanied but have no IDs They can do it a day a DNA test to see if the person is the
[00:31:36.974 --> 00:31:42.835]   mother or father or of their grandfather grandmother Or they're a sister or brother or if they're a first cousin
[00:31:42.835 --> 00:31:47.824]   up to like fourth cousins Why would you get rid of something an inexpensive quick
[00:31:47.824 --> 00:31:48.184]  test?
[00:31:48.974 --> 00:31:51.014]  Because you want to help the smugglers get away with them.
[00:31:51.454 --> 00:32:02.296]  But not just that, it's unaccompanied children with whatever ID they've got or whatever you make up, they then give them to Democrat aid groups, which have been caught all over the world, UN groups, running the smuggling.
[00:32:02.716 --> 00:32:06.476]  Hell, the deputy head of the Clinton Foundation was convicted of smuggling kids out of Haiti.
[00:32:08.137 --> 00:32:12.618]  So they're doing some nasty stuff, folks, and you'd think that's not true.
[00:32:12.678 --> 00:32:15.138]  That doesn't sound true, though it's in the Washington Post.
[00:32:16.431 --> 00:32:17.171]  They're saying big deal.
[00:32:18.392 --> 00:32:27.515]  Like it doesn't sound real they took human trafficking and child sex trafficking and child prostitution and sex slavery off the federal websites this week.
[00:32:27.715 --> 00:32:28.156]  They did.
[00:32:28.836 --> 00:32:30.416]  It doesn't exist now according to them.
[00:32:33.378 --> 00:32:48.324]   And these next clips I've got are so horrible that it's hard to process It's hard to process Democrats saying, yeah, we kill babies as part of a satanic ritual.
[00:32:49.025 --> 00:32:50.606]  In federal court, we want to keep it legal.
[00:32:50.886 --> 00:32:54.249]  We have women get pregnant on purpose so we can murder the baby in a ritual.
[00:32:54.709 --> 00:32:55.490]  Now what's wrong with that?
[00:32:58.733 --> 00:33:00.034]  I have that article right here, Mainstream News.
[00:33:00.054 --> 00:33:03.437]  I'm going to cover that.
[00:33:05.839 --> 00:33:10.763]  California Assembly Democrats block bill to make child trafficking a serious felony.
[00:33:11.994 --> 00:33:20.239]  That's right, California doesn't have a law that if you're caught with kidnapped children as young as five in sex slavery, that it's a felony.
[00:33:21.540 --> 00:33:26.843]  California has legalized sex with 12-year-old boys with adults if, quote, they say it's consenting.
[00:33:27.063 --> 00:33:28.364]  A child of 12 can't be consenting.
[00:33:30.025 --> 00:33:33.127]  Plus, they tell the kids, we'll kill your family if you say you didn't want to do this.
[00:33:33.547 --> 00:33:34.248]  Standard procedure.
[00:33:35.448 --> 00:33:38.330]  California has legalized giving people HIV or hepatitis.
[00:33:38.930 --> 00:33:51.494]   California Has said children from all over the country can run to their state and be sterilized outside of parental consent and outside of them being able to give consent because they're not the age of consent.
[00:33:52.015 --> 00:33:57.540]  And California is now sterilizing children as young as seven who go with these quote providers.
[00:33:58.321 --> 00:34:10.484]   Washington State passed a law, Oregon's passing a law, that if the child quote runs away as young as 10, They can be taken to a safe house and parents not told where they are under state funding.
[00:34:10.805 --> 00:34:11.906]  But who are the sponsors?
[00:34:11.966 --> 00:34:15.130]  The teachers, the pedophiles, the criminals in the community.
[00:34:15.350 --> 00:34:18.754]  They tell the 7, 8, 9 year old, oh, don't tell your parents you're really another gender.
[00:34:18.774 --> 00:34:20.896]  We're going to put you in this club, but don't tell them.
[00:34:21.157 --> 00:34:22.738]  Oh, hey, next week you're going to escape.
[00:34:23.399 --> 00:34:25.240]  Remember, never talk to your parents again.
[00:34:25.260 --> 00:34:30.003]  They have pedos on Facebook and TikTok telling kids just do no communication.
[00:34:30.124 --> 00:34:30.604]  Cut them off.
[00:34:30.884 --> 00:34:31.865]  Your parents are bad.
[00:34:32.445 --> 00:34:35.967]  Just go with your friend and your guardian and your ally.
[00:34:36.208 --> 00:34:42.272]  And so a pedophile convinces your 7, 8, 9, 10 year old that you're really going to have this incredible life of wondrousness.
[00:34:42.552 --> 00:34:45.434]  And then the states, multiple states are passing laws.
[00:34:45.474 --> 00:34:49.036]  Governors are signing laws that you then disappear.
[00:34:49.476 --> 00:34:53.099]  And the parents aren't told under state law where you are.
[00:34:55.360 --> 00:35:01.984]  And you're quote taken to a transgender house where it's all peer pressure, it's all control, you know it's all pedo right.
[00:35:04.686 --> 00:35:07.687]  Yeah there's the state senator that gets all these laws passed in California there.
[00:35:08.888 --> 00:35:10.249]  Right there on the side there.
[00:35:12.670 --> 00:35:12.910]  Wow.
[00:35:15.112 --> 00:35:22.356]  So this is a cult and they're turning California into a giant pedo command base.
[00:35:23.755 --> 00:35:35.182]  And when we come back, we're going to play all these clips of when the victims of human trafficking, where people were confirmed to be victims, where there was convictions, they're there.
[00:35:35.202 --> 00:35:35.983]  They've already testified.
[00:35:37.893 --> 00:35:45.455]  When they cry, the Democrats laugh and make jokes because they're on the payroll, folks.
[00:35:46.396 --> 00:35:56.859]  Big money in human baby parts and kidnap children's organs and delivering fetuses with still beating hearts to quote US research facilities and universities.
[00:35:56.899 --> 00:35:57.399]  Look that up.
[00:35:58.615 --> 00:36:06.262]  Big money in all of this, but if they can convince your child, particularly of their Autistic or Down Syndrome, you're gonna be a star now!
[00:36:06.342 --> 00:36:13.790]  We have fun parties at school where everybody worships you, and you dress up like a girl, and we give you prizes, and is your mommy mean to you?
[00:36:14.010 --> 00:36:20.216]  Would you like to go away to a nice place where you'll be with people like you, with your friends all the time, at like a birthday party all the time?
[00:36:20.997 --> 00:36:23.079]  Okay, sign right here, you're eight years old.
[00:36:24.781 --> 00:36:26.303]  Billy, you were Billy, you're Jenny now.
[00:36:26.683 --> 00:36:28.345]  You're going to be at a party all the time.
[00:36:28.605 --> 00:36:32.990]  And they load your kid in a van that day, and the parents say, Billy never got off the bus.
