[00:00:00.000 --> 00:00:03.000]  [Buzzing]
[00:21:01.009 --> 00:21:11.315]  And then even, at least 10 minutes ago when I checked it for this interview, when you finally find it and click on it, it takes you to a dead listing that says it's not available because it shows a hardcover listing.
[00:21:11.335 --> 00:21:12.856]  Yeah, I don't think that's on purpose.
[00:21:13.196 --> 00:21:17.078]  Just like Musk said, he's trying to clean out all the censors, but they're just, they're embedded.
[00:21:17.967 --> 00:21:22.009]  So it looks like when you find it and you click on it, it looks like it's sold out and it says unavailable.
[00:21:22.630 --> 00:21:28.493]  We don't know when it's going to be back in and you have to click the paperback button and then it will show that it's in stock.
[00:21:28.533 --> 00:21:35.056]  So, I mean, even of the people who find it, half of those people are going to think that it's out of stock.
[00:21:35.596 --> 00:21:38.438]  We want to make it number one, but they can get it from you directly though.
[00:21:40.160 --> 00:21:40.901]  Well, they can.
[00:21:41.001 --> 00:21:41.741]  I don't sell it directly.
[00:21:41.761 --> 00:21:42.862]  You have to get it from Amazon.
[00:21:42.882 --> 00:21:46.065]  But, you know, go to my Twitter account, my ex account, and it's in the biography.
[00:21:46.105 --> 00:21:49.348]  Well, by the way, I've been trying to buy some, so as soon as I get some from you, we'll sell them.
[00:21:50.342 --> 00:21:51.362]  Yeah, and there was a glitch there, too.
[00:21:51.422 --> 00:21:54.423]  I couldn't even order copies until yesterday.
[00:21:54.443 --> 00:21:55.323]  It was a big mess.
[00:21:55.343 --> 00:21:55.683]  I understand.
[00:21:55.703 --> 00:21:56.343]  It's what they do to you.
[00:21:56.363 --> 00:21:58.104]  So you have a 4.9 review.
[00:21:58.764 --> 00:22:01.665]  Believe me, when my book hit number one last time, they took our bank away.
[00:22:02.245 --> 00:22:03.165]  We know how it works.
[00:22:03.865 --> 00:22:07.366]  Folks, because they're weak, they do this because they're weak, not because they're strong.
[00:22:07.766 --> 00:22:08.966]  So tell us about the book.
[00:22:09.206 --> 00:22:09.966]  I got it last week.
[00:22:09.986 --> 00:22:10.646]  I've already read half of it.
[00:22:10.666 --> 00:22:11.267]  It's amazing.
[00:22:12.847 --> 00:22:16.668]  Tell us about the war on conservatives and then tie it into all the current craziness.
[00:22:17.688 --> 00:22:19.991]  Your prognosis on what's about to happen in 12 months.
[00:22:20.031 --> 00:22:22.154]  This is the most epic time to ever be alive.
[00:22:22.194 --> 00:22:23.736]  This is so edge of your seat.
[00:22:25.387 --> 00:22:30.168]  We're in the final year, the last year, the 365 day countdown until the election.
[00:22:30.208 --> 00:22:33.749]  So the book on the surface kind of appears fairly normal.
[00:22:33.949 --> 00:22:37.030]  Oh yeah, I know there's a war on conservatives, they're attacking us.
[00:22:37.090 --> 00:22:46.252]  But it goes so much deeper than I even want to hint at in this interview because there are certain topics that are so hot that the mainstream conservatives won't talk about them.
[00:22:46.532 --> 00:22:58.935]   And you kind of start to see patterns, you start to notice things, you see articles and you see quotes, you see Certain things in the media that slipped through the cracks, but it's essentially a track.
[00:22:59.055 --> 00:23:07.218]  It tracks what it is that they've been doing, attacking not only censorship on social media, we know about that, undermining the family, attacks on Christianity.
[00:23:07.238 --> 00:23:13.300]  I mean, did you ever think that we would be seeing supposed Christian churches holding drag queen story hour?
[00:23:13.861 --> 00:23:17.242]  No, are Black Lives Matter worship services?
[00:23:18.608 --> 00:23:24.528]   It's an abomination and you know Christians are, maybe recently it might have changed with the
[00:23:24.528 --> 00:23:30.447]   dust up over in Israel, but Christians are one of the most persecuted religions around the world
[00:23:30.447 --> 00:23:36.848]   and it is commonplace now in the United States to attack Christians, to discriminate against
[00:23:36.848 --> 00:23:43.009]   Christians. We've seen numerous cases of restaurants canceling reservations for Christian groups,
[00:23:43.009 --> 00:23:47.888]   kicking them out of coffee shops, viral videos of them cursing them out and telling them to leave.
[00:23:48.153 --> 00:23:55.475]  Now, if that were to happen to any other group, a religious group, a minority group, there would be congressional hearings held.
[00:23:55.755 --> 00:23:58.395]  They would be sued by the Justice Department for discrimination.
[00:23:58.696 --> 00:24:11.606]   But when a Christian organization gets their reservation cancelled because the owner is a leftist and finds out that They believe in God, they're Christians, they oppose abortion, they oppose the LGBTQ agenda.
[00:24:12.406 --> 00:24:13.186]  That's okay.
[00:24:13.887 --> 00:24:15.827]  And so there's a tremendous double standard.
[00:24:16.067 --> 00:24:23.711]  Then of course it gets into anti-whitism and that's something too that a lot of people didn't want to talk about because it's such a taboo subject to dare to say that.
[00:24:23.731 --> 00:24:25.572]  But you've been a trailblazer exposing that.
[00:24:25.592 --> 00:24:28.713]  The left is literally trying to create race-based politics.
[00:24:30.000 --> 00:24:34.245]  They have in you know the oppressed because of course black people were oppressed.
[00:24:34.545 --> 00:24:35.867]  Racism is terrible.
[00:24:36.067 --> 00:24:37.168]  Slavery was awful.
[00:24:37.629 --> 00:24:41.353]  But the oppressed to become the oppressors through the culture of Marxism.
[00:24:41.533 --> 00:24:52.399]   And so they got so carried away at seeing what they saw as the ruling class the you know, the white Anglo-Saxon people. And so the demonization
[00:24:52.399 --> 00:24:55.659]   of white people, everybody's been noticing it for years now, particularly since the
[00:24:55.659 --> 00:25:01.089]   Black Lives Matter insurrection of 2020 with George Floyd. But it's such a sensitive topic to talk about
[00:25:01.089 --> 00:25:05.998]   because just daring to say that there's a lot of, you know, black people that are discriminated
[00:25:05.998 --> 00:25:26.441]   against whites that are racist That seems as a white supremacist talking point, but we've seen people like Tulsi Gabbard, who cited anti-white racism or anti-whitism as one of the reasons she left the Democrat Party, with the leak of the manifesto of the transgender shooter in Nashville showing that that deranged lunatic
[00:25:26.941 --> 00:25:33.925]  Was brainwashed by the culture of Marxism into believing that the white privilege and the crackers are responsible for all the ills in America.
[00:25:34.685 --> 00:25:35.846]  Then we have Senator J.D.
[00:25:35.886 --> 00:25:41.308]  Vance who tweeted out that of course this person was brainwashed by anti-white racism.
[00:25:41.428 --> 00:25:46.251]  And so it's finally becoming something that people are feeling safe to talk about.
[00:25:46.291 --> 00:25:51.073]  Now we just emphasis that there's a term for it and it's called anti-whiteism.
[00:25:51.514 --> 00:25:53.575]  In the same vein as the term anti-Semitism.
[00:25:53.755 --> 00:26:00.810]   And a lot of people just hearing the word racism Immediately makes people think of white people doing something bad.
[00:26:00.870 --> 00:26:04.494]  White people discriminating against black people or non-whites.
[00:26:04.695 --> 00:26:07.998]  And that's why the ADL even tried to solidify that as the definition.
[00:26:08.018 --> 00:26:12.563]  That racism is, you know, white people discriminating.
[00:26:12.643 --> 00:26:14.425]  Whites are originally sinful.
[00:26:14.986 --> 00:26:15.887]  Because of their color.
[00:26:15.927 --> 00:26:18.749]  But it blew back on the Zionists and on the Jews.
[00:26:18.789 --> 00:26:19.850]  So I'm not attacking it.
[00:26:19.910 --> 00:26:20.431]  I don't hate.
[00:26:21.572 --> 00:26:27.838]  But I don't want them wedded with the Liberals and then saying they're going to send all the Islamic refugees here into Canada.
[00:26:28.198 --> 00:26:28.858]  No, you're not.
[00:26:28.959 --> 00:26:31.180]  I mean, they're so great, you take them.
[00:26:31.481 --> 00:26:32.722]  So I'm not enemies of the Jews.
[00:26:32.982 --> 00:26:34.083]  The Jews are a diverse group.
[00:26:34.363 --> 00:26:43.911]   But to have the ADL, this super powerful group, quarterbacking the censorship control, Literally programming the Critical Race Theory, teaching six-year-old kids they're bad because they're white.
[00:26:44.191 --> 00:26:49.836]  My daughter's homeschooled but went to a camp and was told at the camp during lunch over speakers that she was bad.
[00:26:50.076 --> 00:26:52.478]  She said, am I bad because I was white?
[00:26:52.498 --> 00:26:53.279]  That happened a month ago.
[00:26:53.619 --> 00:26:55.120]  I said, that's it, the gloves are off.
[00:26:55.160 --> 00:26:56.301]  So now I'm Mark Geisinger.
[00:26:56.541 --> 00:27:03.046]  And not because I hate people because of what color they are or religion, but because I'm not going to be told or my children I'm bad because of what color I am.
[00:27:03.367 --> 00:27:04.768]  Martin Luther King would vomit.
[00:27:05.851 --> 00:27:06.594]  Look at that idea.
[00:27:06.614 --> 00:27:09.986]  And so, look at the Nashville shooter.
[00:27:11.035 --> 00:27:11.996]  We now get the documents.
[00:27:12.456 --> 00:27:15.118]  Kill the crackers, kill the blonde haired kids, kill the white privilege.
[00:27:15.418 --> 00:27:16.359]  That's why they suppressed it.
[00:27:16.399 --> 00:27:21.382]  That's a brainwashed white person literally thinking killing white children is a win.
[00:27:21.602 --> 00:27:23.924]  That sounds like Hamas saying kill the Jews.
[00:27:24.284 --> 00:27:26.986]  I mean, look, I'm against any holocaust.
[00:27:27.066 --> 00:27:28.867]  Black, white, Jewish, Muslim, anything.
[00:27:29.248 --> 00:27:36.833]  I'm not here to be put on the menu for holocaust and the ADL is literally partially responsible for the stuff that's happening.
[00:27:38.203 --> 00:27:50.545]  And that, of course, is one of their talking points for supposed anti-Semitism, saying that they're stoking some of this hostility by overgeneralizing people and attacking people.
[00:27:50.585 --> 00:27:53.566]  Then they try to twist that around and say that that's anti-Semitism.
[00:27:54.006 --> 00:27:54.466]  It's interesting.
[00:27:54.486 --> 00:28:00.727]  There's a clip of Jonathan Greenblatt on CNN talking about how, you know, demonizing Jews is dangerous.
[00:28:01.307 --> 00:28:02.167]  Well, of course.
[00:28:02.387 --> 00:28:04.568]  But why are they demonizing white people then?
[00:28:04.748 --> 00:28:12.040]   Isn't that the same sort of Slippery slope that you're getting down, you start blaming an entire group of people for the ills of everybody else.
[00:28:12.060 --> 00:28:13.500]  It's beyond a slippery slope.
[00:28:14.281 --> 00:28:16.522]  When I said the ADL's like Hitler, I don't mean they're Nazis.
[00:28:16.982 --> 00:28:20.284]  I mean, Hitler was race-based, saying a certain group is doing all the bad.
[00:28:20.484 --> 00:28:24.886]  They're literally saying, white people, if you followed a banana peel, we're the reason it happened.
[00:28:26.576 --> 00:28:27.858]  It's good to see people are tired of it.
[00:28:27.938 --> 00:28:30.382]  And that's why I would just introduce the term anti-whitism.
[00:28:30.422 --> 00:28:31.464]  That's really what it is.
[00:28:31.604 --> 00:28:34.409]  Because, you know, people say that, well, there's racism.
[00:28:34.689 --> 00:28:37.634]  They always have to make this distinction.
[00:28:37.754 --> 00:28:40.138]  It's clear you coined anti-whitism.
[00:28:40.950 --> 00:28:47.313]  I don't think I coined it, but I probably am one of the most, you know, I'm just, I see it, and it just sticks out at me.
[00:28:47.353 --> 00:28:48.294]  You popularized it.
[00:28:48.394 --> 00:28:48.654]  All right.
[00:28:49.094 --> 00:28:51.115]  Mark Dice is on fire as always.
[00:28:51.175 --> 00:28:53.496]  Get his book now at Amazon.com.
[00:28:54.056 --> 00:28:54.657]  It's available.
[00:28:54.677 --> 00:28:55.597]  Don't let him lie to you.
[00:28:55.637 --> 00:28:56.498]  Send it to number one.
[00:28:56.778 --> 00:28:58.419]  Let's go number one right now.
[00:28:58.479 --> 00:29:01.020]  Mark Dice, The War on Conservatives by Mark Dice.
[00:29:01.080 --> 00:29:01.540]  Stay with us.
[00:29:01.560 --> 00:29:02.280]  The War on Conservatives.
[00:29:02.500 --> 00:29:02.921]  Buy it now.
[00:29:03.781 --> 00:29:09.229]  If you ever take one piece of my advice, it's get a bottle of X2.
[00:29:09.990 --> 00:29:14.276]  It's been sold out for over a year because we wouldn't cut corners and because it's so hard to produce.
[00:29:14.677 --> 00:29:18.783]  We finally have a limited run, back in supply, at infowarestore.com.
[00:29:20.476 --> 00:29:23.218]  So many people have serious issues.
[00:29:23.518 --> 00:29:24.639]  Look at the UN's own numbers.
[00:29:25.099 --> 00:29:30.503]  Billions have cognitive disabilities because they do not have true nascent iodine in their bodies.
[00:29:31.043 --> 00:29:36.467]  Most other iodine is bound to other heavy metals or bound to other elements so you don't download it.
[00:29:37.068 --> 00:29:45.734]   But this is pure atomic certified X2 is now back in stock, discounted.
[00:29:46.074 --> 00:29:49.235]  So I'm giving Thanksgiving right now for this product being here.
[00:29:49.576 --> 00:29:54.697]  It funds the InfoWar, but I guarantee you, you take this for a few weeks, you will feel the difference.
[00:29:54.857 --> 00:29:55.658]  It is amazing.
[00:29:55.978 --> 00:29:57.618]  It's the Missing Link X2.
[00:29:58.078 --> 00:30:00.039]  Back in stock at the end of 2023 at infowarestore.com.
[00:30:00.439 --> 00:30:00.459]  X2.
[00:30:03.200 --> 00:30:08.484]  Doctors believe vaccine hesitancy brought on by the pandemic is a contributing factor.
[00:30:09.245 --> 00:30:23.536]  On Transgender Day of Remembrance... He is destructive to our democracy and he has to be eliminated.
[00:30:26.036 --> 00:30:31.537]  Let's free the Patriots and defeat the globalist techniques.
[00:30:32.097 --> 00:30:33.438]  You will join the Matrix?
