[00:00:12.100 --> 00:00:13.420]  It's Monday, October 9, 2023.
[00:27:05.954 --> 00:27:09.096]  I was talking to my friend yesterday and kept just saying that's a failure of imagination.
[00:27:09.096 --> 00:27:10.998]  I mean, they just didn't think this was possible.
[00:27:10.998 --> 00:27:12.138]  So they weren't prepared for it.
[00:27:12.138 --> 00:27:15.261]  They didn't think the Palestinians could pull something like this off.
[00:27:15.261 --> 00:27:20.684]  So they weren't, you know, defending against this possibility.
[00:27:20.684 --> 00:27:22.966]  And so it may very well be that just
[00:27:23.766 --> 00:27:27.689]  Massad underestimated what these people were capable of.
[00:27:27.689 --> 00:27:32.933]  And I mean, you have, you know, there's no way to train paratroopers in a cave, right?
[00:27:32.933 --> 00:27:35.615]  There's no way to train paratroopers in a tunnel.
[00:27:35.615 --> 00:27:40.098]  So clearly these attacks and the people who carried them out had to be trained outside of Gaza.
[00:27:40.098 --> 00:27:43.121]  It would have been impossible for them to avoid Massad that way.
[00:27:43.121 --> 00:27:49.445]  But at the same time, they somehow got into Gaza and then were able to launch this attack without alerting the IDF or Massad.
[00:27:50.626 --> 00:27:52.647]  So, I mean, what do you think?
[00:27:52.647 --> 00:27:53.487]  Do you think they did less?
[00:27:53.487 --> 00:27:56.248]  I mean, they have reasons to let this happen, obviously.
[00:27:56.248 --> 00:28:00.630]  My inclination is to say that they knew it was going to happen and allowed it to happen.
[00:28:00.630 --> 00:28:05.451]  Maybe they were thinking, hey, we have a major vulnerability because we don't have enough of a standing army.
[00:28:05.451 --> 00:28:06.632]  We're very well equipped.
[00:28:06.632 --> 00:28:11.093]  We have a lot of technology, but we don't have a lot of boots on the ground to do some of the activities that we want to do.
[00:28:11.093 --> 00:28:15.675]  I know you mentioned when we were speaking earlier that they have struggled with the region prior.
[00:28:16.195 --> 00:28:19.656]  In terms of trying to occupy it and just being a nightmare, sort of a slaughter for infantry.
[00:28:19.656 --> 00:28:29.958]  So, if you want 300,000 troops overnight, the best way to do it is to have some sort of a domestic event that can justify sort of conscripting everyone all at once in a way that you couldn't in times of peace.
[00:28:29.958 --> 00:28:32.719]  You know, it almost doesn't matter whether it was on purpose or not.
[00:28:32.719 --> 00:28:36.660]  Like, at a certain point, it doesn't matter what the arguments are or whether it was on purpose or not.
[00:28:36.660 --> 00:28:40.581]  We're dealing with the real world warfare taking place here.
[00:28:40.581 --> 00:28:43.742]  And at the end of the day, it's whoever's stronger is gonna win.
[00:28:43.742 --> 00:28:44.202]  And, uh...
[00:28:45.562 --> 00:28:47.744]  I mean, this conflict is just getting started.
[00:28:47.744 --> 00:28:50.506]  Where it goes from here is anybody's guess, but it's nowhere good.
[00:28:50.506 --> 00:28:54.650]  We'll be back on the other side to talk about how the international players all come into this.
[00:28:54.650 --> 00:28:55.390]  Stay with us, folks.
[00:28:55.390 --> 00:28:57.132]  It's the Alex Jones Show and fullwars.com.
[00:29:01.550 --> 00:29:03.771]  Last year we put this book out.
[00:29:03.771 --> 00:29:05.212]  The Great Reset and the War for the World.
[00:29:05.212 --> 00:29:07.572]  It became a number one national bestseller.
[00:29:07.572 --> 00:29:11.354]  Now we've put part two out and it's even thicker and more powerful.
[00:29:11.354 --> 00:29:12.334]  The Great Awakening.
[00:29:12.334 --> 00:29:16.596]  The plan to defeat the globalists and launch the second great renaissance.
[00:29:16.596 --> 00:29:18.637]  This is such a powerful book.
[00:29:18.637 --> 00:29:20.318]  It covers all the globalist plans.
[00:29:20.998 --> 00:29:21.338]  I think so.
[00:29:40.214 --> 00:29:44.857]  I'm going to say something obvious right now, but it's usually the obvious things that we all miss, including myself.
[00:30:05.413 --> 00:30:08.594]  Everybody's very excited about the impeachment of Joe Biden.
[00:30:08.594 --> 00:30:10.575]  But remember, he is a total and complete puppet.
[00:30:10.575 --> 00:30:17.137]  It needs to be about the criminals that control him, the CIA, BlackRock, the multinational corporations.
[00:30:17.137 --> 00:30:18.337]  People want to blame Obama.
[00:30:18.337 --> 00:30:21.038]  Yeah, he's a puppet, but he's still a puppet too.
[00:30:21.038 --> 00:30:23.879]  We need to make it about the power structure that's waging war.
[00:30:24.739 --> 00:30:30.061]  Against this country that's de-industrializing us and attacking our culture and creating race war.
[00:30:30.061 --> 00:30:40.366]  We need to make the impeachment all about the open borders and the human trafficking and the global government and the UN taking control of our medical system.
[00:30:40.366 --> 00:30:41.627]  That's what we need to do.
[00:30:41.627 --> 00:30:43.408]  That's what we've got to stand for.
[00:30:43.408 --> 00:30:43.828]  That's what
[00:30:44.508 --> 00:30:52.233]  We have not had this many of our best-selling products back in stock in years because of supply chain breakdowns and all the rest of the stuff that's going on.
[00:30:52.233 --> 00:30:53.694]  And these are game-changing products.
[00:30:53.694 --> 00:30:55.615]  It's like our information's game-changing.
[00:30:55.615 --> 00:30:56.875]  These products are incredible.
[00:31:13.024 --> 00:31:16.806]  And I'm personally glad that these are now back in stock.
[00:31:16.806 --> 00:31:30.993]  All three of the InfoWars Platinum flagship products that have been sold out for months are now back in stock, but a very limited run because we only had a budget to get 3,000 or 4,000 bottles of each one of these.
[00:31:30.993 --> 00:31:35.415]  We've got 4,000 bottles of the HGH Max Boost that people love so much.
[00:31:36.485 --> 00:31:43.750]  We've got about 4,000 bottles of 1776 testosterone boost that just came in, and we've got about 3,000 bottles of Pain MD.
[00:31:43.750 --> 00:31:47.913]  Incredible natural pain reliever situation.
[00:31:47.913 --> 00:31:54.097]  All three of these are back in stock, and they're incredible, and they fund our operation at InfoWarsTore.com.
[00:31:59.952 --> 00:32:08.096]  Omega-3 fatty acids are needed for optimal strength, and they can only be obtained through diet.
[00:32:08.096 --> 00:32:13.598]  They can be found in grass-fed beef, which is why the ruling class is trying to ban it.
[00:32:13.598 --> 00:32:18.540]  And they can be found in fish, which are arguably the best source of omega-3s.
[00:32:19.921 --> 00:32:24.769]  But the problem today is finding fish without a high mercury content.
[00:32:24.769 --> 00:32:30.417]  Your best option is our Ultimate Fish Oil and Ultimate Krill Oil at InfowarsStore.com
[00:32:32.307 --> 00:32:41.173]  Omega-3 fatty acids are essential for both our neurological and cardiovascular systems, our brain and our heart.
[00:32:41.173 --> 00:32:45.956]  They improve mood, mental clarity, and immune function.
[00:32:45.956 --> 00:32:51.100]  Get your essential Omega-3 fatty acids from the best sources available.
[00:32:51.100 --> 00:32:54.142]  Ultimate Fish Oil and Ultimate Krill Oil.
[00:32:54.142 --> 00:32:56.363]  Get some today at InfoWareStore.com.
[00:33:01.658 --> 00:33:06.264]  Leading a frontal assault on the lies of the New World Order.
[00:33:06.264 --> 00:33:12.631]  It's Alex Jones.
[00:33:12.631 --> 00:33:15.515]  The program leftists failed to silence.
[00:33:15.515 --> 00:33:17.117]  It's the Alex Jones Show.
[00:33:22.546 --> 00:33:23.086]  Welcome back.
[00:33:23.086 --> 00:33:25.368]  Ladies and gentlemen, this is the Alex Jones Show.
[00:33:25.368 --> 00:33:29.011]  Harrison Smith and Chase Geyser sitting in for Alex today.
[00:33:29.011 --> 00:33:35.215]  Of course, you can support everything we do here by going to InfoWarsStore.com.
[00:33:35.215 --> 00:33:49.465]  And I don't know, is there any other media outlet that is as dedicated as InfoWars is and has been for the last several decades in avoiding war and avoiding falling into the psychological traps that are laid for us to encourage populations to call for war?
[00:33:49.465 --> 00:33:49.685]  I mean...
[00:33:50.846 --> 00:34:06.718]  It actually feels nice being at InfoWars and being able to look back at the last several decades of endless warfare and conflict overseas and to say we've been on the right side of all of these events because we've always called for peace, we've always called for non-intervention, we've always called for people to...
[00:34:07.699 --> 00:34:24.827]  Just calm down, not fall for the emotionally provocative images that they show or claims that they make to try to rile people up in order to override the logical faculties and get us into just this deathmatch from which there is no winner, nobody comes out on top.
[00:34:25.987 --> 00:34:30.111]  And at the end of the day, this isn't a conflict between Palestine and Israel.
[00:34:30.111 --> 00:34:38.720]  I mean, obviously it is, but the implications for this and the way that the rest of the world is being pulled into this are extremely dangerous and could very well lead to World War III.
[00:34:38.720 --> 00:34:41.803]  And you really have to ask yourself, what are we fighting over here?
[00:34:41.803 --> 00:34:43.505]  Is this worth it?
[00:34:43.505 --> 00:34:47.709]  Is this just an eye for an eye, you know, on and on forever?
[00:34:47.709 --> 00:34:49.270]  Are we fighting for, you know,
[00:34:50.572 --> 00:34:56.799]  To free the people of Gaza or to, you know, insist that they, you know, stay in Gaza forever.
[00:34:56.799 --> 00:34:58.040]  It's like, really?
[00:34:58.040 --> 00:35:05.229]  That's what we're going to go to World War III to ensure that the people of Gaza don't have rights at all ever?
[00:35:05.229 --> 00:35:06.991]  I mean, that's the way I see it.
[00:35:08.112 --> 00:35:18.476]  But, you know, regardless of where you land on the divide between, and the way they're trying to frame this whole conflict is Jews vs. Muslims.
[00:35:18.476 --> 00:35:19.336]  It's Jews vs. Muslims.
[00:35:19.336 --> 00:35:20.437]  Whose side are you on?
[00:35:20.437 --> 00:35:23.658]  Who should be eradicated completely and who do you support?
[00:35:23.658 --> 00:35:29.520]  And it's like, what a sick and demented way to even look at this conflict.
[00:35:29.520 --> 00:35:31.841]  The only possible outcome
[00:35:33.544 --> 00:35:37.046]  To benefit really anybody would be some sort of peace at this point.
[00:35:37.046 --> 00:35:46.029]  I mean maybe, maybe that's what this, as horrible as this attack against Israel was, can this not be a wake-up call to everybody that this cannot continue like this anymore?
[00:35:46.029 --> 00:35:47.270]  Something has to change.
[00:35:47.270 --> 00:35:48.971]  The status quo is...
[00:35:50.407 --> 00:35:52.390]  Yeah, just enough already.
[00:35:52.390 --> 00:35:54.312]  Something has to change one way or another.
[00:35:54.312 --> 00:35:58.237]  And in my opinion, that doesn't mean one side has to be genocided completely.
[00:35:58.237 --> 00:36:02.162]  Which we're seeing a lot of people on the right wing making that argument.
[00:36:02.162 --> 00:36:07.148]  I have a post here from Joel Polak, who I believe is the editor of Breitbart News.
[00:36:08.220 --> 00:36:09.541]  He posted this on Saturday.
[00:36:09.541 --> 00:36:12.802]  He said, So I guess the implication there is kill all of the men, plow it under, and annex it to Israel.
