[00:00:30.604 --> 00:00:35.508]  It's Sunday, June 18th, 2023.
[01:39:37.143 --> 01:39:40.946]  Great job crew, all coming up in 24 minutes now, here's part of that report.
[01:39:42.314 --> 01:39:44.036]  Thank you so much for your time.
[01:39:44.036 --> 01:39:46.338]  Thanks for having me.
[01:39:46.338 --> 01:39:47.639]  Not at all.
[01:39:47.639 --> 01:39:49.001]  We'll just jump in.
[01:39:49.001 --> 01:39:53.925]  It's look, it's been nearly 25 years since you started InfoWars.
[01:39:53.925 --> 01:39:55.687]  And I wonder what moved you?
[01:39:55.687 --> 01:39:59.811]  I mean, what was your assessment of what was it that made you decide to actually start something?
[01:40:01.912 --> 01:40:04.474]  Well, Wikipedia says InfoWars started in 1999.
[01:40:04.474 --> 01:40:05.414]  That's not true.
[01:40:05.414 --> 01:40:10.958]  I got the website in 1997, but it says it was registered in 1999.
[01:40:10.958 --> 01:40:12.338]  That's not right.
[01:40:12.338 --> 01:40:21.944]  I got on air in 1994 on Local Access TV as a guest on shows, and then I got my own show in 1995, and I got a local radio show in 1997.
[01:40:21.944 --> 01:40:27.648]  I got syndicated in 1998, and I just, I was aware of what was going on in the world.
[01:40:27.648 --> 01:40:29.149]  I had read a lot of books about
[01:40:29.833 --> 01:40:33.955]  The New World Order and Globalism, because family had given them to me, that were informed.
[01:40:33.955 --> 01:40:41.859]  So I was kind of fast-tracked to know what was coming, and then I saw what family had warned me about when I was young, actually all over the place.
[01:40:41.859 --> 01:40:53.966]  So I began to research not just the books written by the John Birch Society and people like Barry Goldwater, but I started reading stuff by Anthony Sutton, who was the top archivist at Congress.
[01:40:54.685 --> 01:41:06.971]  Then I started actually reading the books he recommended, written by the bad guys, like Georgetown mentor and political science professor, Carol Quigley, who wrote Tragedy and Hope.
[01:41:06.971 --> 01:41:15.855]  So when I was about 18, I read that 1,100-page book that described the entire way they control the world and how U.S.
[01:41:15.855 --> 01:41:19.257]  intelligence emerged with British intelligence after World War II.
[01:41:19.257 --> 01:41:21.998]  Now they were establishing a planetary government and what they wanted to do.
[01:41:23.214 --> 01:41:23.394]  I think?
[01:41:42.791 --> 01:41:51.137]  And even if you're a champion rollerballer, like James Caan is, the executive wants his wife just to execute the power, and takes her and she has to marry him.
[01:41:51.137 --> 01:41:53.539]  And there are no nation-states in the future.
[01:41:53.539 --> 01:42:06.468]  There's only mega-cities, which the globalists say they're going to end the nation-state, and only create these city-states, like we see with the Vatican, or the City of London inside London, or Israel.
[01:42:07.825 --> 01:42:12.329]  That's really the model or what they're setting up in Saudi Arabia.
[01:42:12.329 --> 01:42:13.930]  They call the line.
[01:42:13.930 --> 01:42:17.293]  They're setting up several other sovereign cities within Saudi Arabia.
[01:42:17.293 --> 01:42:19.735]  So that's really the model where they're all exempt.
[01:42:19.735 --> 01:42:21.156]  We're all made poor.
[01:42:21.156 --> 01:42:23.598]  And then a big UN world peace force controls things.
[01:42:23.598 --> 01:42:25.079]  We're all disarmed.
[01:42:25.079 --> 01:42:28.222]  It's really a dystopic system they're establishing and building.
[01:42:28.222 --> 01:42:30.944]  So I learned about it when I was young.
[01:42:30.944 --> 01:42:33.246]  It was kind of background noise.
[01:42:33.246 --> 01:42:36.549]  But then by the time I got out of high school and saw it actually happening,
[01:42:38.849 --> 01:42:42.152]  Then I decided to make it my wife's destiny to fight these people.
[01:42:42.152 --> 01:42:50.400]  And I really innately believe in humanity, was betting on humanity that this was the next big authoritarian totalitarian threat to humanity.
[01:42:50.400 --> 01:42:55.064]  But I knew that communism and Nazism have been spinoffs of this very group in their own writings.
[01:42:56.048 --> 01:42:56.768]  I don't know.
[01:43:19.091 --> 01:43:24.973]  Almost got done, but are a little bit behind, maybe 5-10% behind on, but they basically got most of what they wanted.
[01:43:24.973 --> 01:43:26.854]  Very ambitious strategy by 2020.
[01:43:26.854 --> 01:43:34.197]  Then I, of course, saw their 2030 program that is just absolutely, like, beyond Hitlerian.
[01:43:34.197 --> 01:43:38.219]  You've got the WEF head spokesman saying you're useless eaters, quoting Hitler.
[01:43:39.346 --> 01:43:40.786]  But it's okay because he's Jewish.
[01:43:40.786 --> 01:43:42.487]  It's just totally bizarre.
[01:43:42.487 --> 01:43:44.707]  The future is not human.
[01:43:44.707 --> 01:43:46.188]  Cyborgs will rule by 2047.
[01:43:46.188 --> 01:43:48.208]  You will eat bugs.
[01:43:48.208 --> 01:43:49.729]  You will like it.
[01:43:49.729 --> 01:43:50.409]  We won't have cities.
[01:43:50.409 --> 01:43:51.429]  We'll have communes by 2030.
[01:43:51.429 --> 01:43:53.910]  We're going to depopulate you by 90%.
[01:43:53.910 --> 01:44:00.912]  I mean, I shudder to think how they're going to try to get their goal by 2030.
[01:44:00.912 --> 01:44:01.952]  Their program is falling apart.
[01:44:01.952 --> 01:44:03.012]  They're behind schedule.
[01:44:03.012 --> 01:44:05.373]  But they only accelerate it each time they get behind.
[01:44:06.556 --> 01:44:16.581]  When faced with such a dystopian movement, the average person has a learned helplessness, a normalcy bias, kind of a Stockholm Syndrome thing where people just go, this can't be real.
[01:44:16.581 --> 01:44:17.882]  I just choose to not believe this.
[01:44:17.882 --> 01:44:23.365]  But I will assure you, ladies and gentlemen, all you got to do is watch a WEF event or read their transcripts.
[01:44:23.365 --> 01:44:28.988]  And when you read it, it's so diabolical, it's so Lex Luthor that it's hard to fathom it.
[01:44:28.988 --> 01:44:32.070]  But it's hard to believe that World War II happened and that
[01:44:33.399 --> 01:44:40.026]  You know, 25 million Russians died, 24 million Germans died, and that Hitler ran around and killed tens of millions of people.
[01:44:40.026 --> 01:44:41.968]  I mean, it's just, but it happened.
[01:44:41.968 --> 01:44:49.315]  And we've lived in the West kind of sheltered by the Renaissance and by the fumes of Christianity.
[01:44:49.315 --> 01:44:55.302]  But those fumes have now run low and the fires of liberty have gone out and tyranny is exploding again.
[01:44:56.710 --> 01:45:02.498]  Historically, once the tyranny explodes and lifts its ugly head, there's always a renaissance against it.
[01:45:02.498 --> 01:45:05.102]  So, we are in a do-or-die situation right now.
[01:45:06.690 --> 01:45:17.417]  I watched America Destroyed by Design quite a while ago and then had re-watched it and it actually intrigued me that you were calling out the Communist China.
[01:45:17.417 --> 01:45:20.339]  You're also calling out the Trilateral Commission, Bilderberg.
[01:45:20.339 --> 01:45:32.727]  I mean, how has it taken like a decade after at least for most conservative voices to actually understand that China is a threat and even just more recently the Trilateral Commission which isn't really on anyone's radar?
[01:45:34.269 --> 01:45:34.849]  Well, you're right.
[01:45:34.849 --> 01:45:48.639]  I mean, if you look at the Trilateral Commission and the CFR, the Royal Institute of International Affairs, and the Politburo of China, there's a couple hundred men and a few women that run the planet.
[01:45:48.639 --> 01:45:51.801]  And they're Europeans and they're Asian.
[01:45:51.801 --> 01:45:54.383]  And there's a few Latin Americans and a few Africans.
[01:45:54.383 --> 01:45:57.085]  But it's mainly European and Asian.
[01:45:59.083 --> 01:46:01.505]  And they are a eugenics cult.
[01:46:01.505 --> 01:46:03.387]  And they want a lot of such technology.
[01:46:03.387 --> 01:46:06.610]  And they do not believe in the public having a future.
[01:46:06.610 --> 01:46:09.412]  And they're extremely dystopic.
[01:46:09.412 --> 01:46:12.014]  I mean, they believe in a dystopic program for humanity.
[01:46:12.014 --> 01:46:21.262]  They believe in collapsing civilization and then using that reorganization to launch a new form of civilization, a technocracy after that.
[01:46:22.388 --> 01:46:23.609]  And I can see the earliest point.
[01:46:23.609 --> 01:46:28.473]  It was a lot of aimless people, and there's a lot of resources getting used, but who puts them in charge making those decisions?
[01:46:28.473 --> 01:46:32.517]  And I think the public should be told this is happening to them.
[01:46:32.517 --> 01:46:42.986]  That sperm counts are down 90%, that they're knowingly allowing industrial chemicals into the food chain that do give us cancer and do make us infertile, and that they brag about how they did that.
[01:46:42.986 --> 01:46:47.630]  So they put Trojan horses, not just the cell phones, to listen to us and track us.
[01:46:47.630 --> 01:46:50.252]  They've got Trojan horses and the GMO crops to sterilize us.
[01:46:51.351 --> 01:46:57.055]  And it's not just that it's, but not, you know, they're not just neglecting us.
[01:46:57.055 --> 01:46:59.696]  They are, they are doing this by design.
[01:46:59.696 --> 01:47:06.520]  As you talk about the Trilateral Commission set up by Zbigniew Brzezinski and David Rockefeller in the mid 1970s.
[01:47:06.520 --> 01:47:15.466]  It was a super management group, basically like a finance arm of the Bilderberg Group, which is the very top.
[01:47:16.778 --> 01:47:22.219]  There's the same members, to then coordinate the roundtable groups below them to a better level.
[01:47:22.219 --> 01:47:28.500]  So absolutely, the Trilateral Commission is right at the top.
[01:47:28.500 --> 01:47:32.141]  But again, if you see who's on the National Security Council of Countries, and you see who's on the U.N.
[01:47:32.141 --> 01:47:37.622]  Security Council, and you see who's, you know, the heads of the central banks, literally, it's a couple hundred people.
[01:47:37.622 --> 01:47:39.343]  And then on the steering committees, it's about 20.
[01:47:39.343 --> 01:47:45.924]  So, you know, Campbell wrote the book, the Committee of 300,
[01:47:47.000 --> 01:47:47.520]  It's a Campbell.
[01:47:47.520 --> 01:47:48.681]  I've interviewed him many times.
[01:47:48.681 --> 01:47:49.821]  I'm tired today.
[01:47:49.821 --> 01:47:55.844]  And that was the old name of the British East India Company corporate management.
[01:47:55.844 --> 01:48:01.726]  So when I talk about it being a UK-based thing, it's not an Anglophile or an Anglophobe thing.
[01:48:01.726 --> 01:48:03.087]  It's not the British that run it.
[01:48:03.087 --> 01:48:04.868]  It's not even King Charles.
[01:48:04.868 --> 01:48:15.733]  It's just that that management system of covert corporate control with interlocking corporate directorates, then controlling government militaries, is the model and the
[01:48:17.193 --> 01:48:37.910]  The the center of the wheel of the management directive and directorate and so that's what it is It's the British Empire merged with the US Empire But not to make the Empire for freedom or the people it exploits the people of North America exploits the people of the UK exploits the people of Australia and Canada and everywhere and it is a
[01:48:39.085 --> 01:48:46.749]  System that is in competition with the Renaissance and with productivity and with Christianity, real Christianity, not corporate Christianity.
[01:48:46.749 --> 01:48:50.431]  And so that's why it's at war and has to bring down the first world.
[01:48:50.431 --> 01:48:53.572]  They're not bringing down the first world to raise the third world.
[01:48:53.572 --> 01:48:58.334]  They're lowering the first world so people never aspire to that again.
[01:48:58.334 --> 01:49:01.356]  And so the old world goes down.
[01:49:01.356 --> 01:49:03.197]  We all collapse on each other.
[01:49:03.197 --> 01:49:07.459]  And then the city states will then take on themselves high tech
[01:49:08.443 --> 01:49:09.143]  We're good to go.
[01:49:26.189 --> 01:49:36.476]  Well, some of the organisations more recently, the WF and the WHO, they seem to be blatant in what they want to do.
[01:49:36.476 --> 01:49:37.057]  It's not hidden.
[01:49:37.057 --> 01:49:39.338]  When you were doing this 25 years ago, it was hidden.
[01:49:39.338 --> 01:49:41.680]  You were exposing what they didn't want to expose.
[01:49:41.680 --> 01:49:45.062]  Now they televise some of the WHO stuff.
[01:49:45.062 --> 01:49:52.147]  It is out there and now full movement towards restricting travel with vaccine passports in the next year.
[01:49:53.428 --> 01:49:58.491]  How has that moved away from not being blatant and open from being hidden?
[01:49:58.491 --> 01:50:06.276]  Well that's what's so frustrating about this is I was just successful at getting this out to a large audience.
[01:50:06.276 --> 01:50:10.158]  I certainly did not develop much of the research.
[01:50:10.158 --> 01:50:21.105]  I mean I've gone out and covered things myself and done and you've gotten the latest info but I mean there was a hardcore group of people around the world mainly who worked in military and intelligence who was read into this and
[01:50:21.969 --> 01:50:24.369]  Decided to say, I'm not gonna be part of this.
[01:50:24.369 --> 01:50:30.171]  Like both sides of my family, you know, had people that were working in the military and intelligence.
[01:50:30.171 --> 01:50:34.651]  And that's who I first heard about all this from when I was a small child.
[01:50:34.651 --> 01:50:35.932]  And then it was just background noise.
[01:50:35.932 --> 01:50:43.673]  So, you know, the fact that I knew about this, and then they would deny it existed and say, I made it all up.
[01:50:43.673 --> 01:50:49.134]  And Alex Jones is the guy that came up with this as, you know, been a narrative for many years.
[01:50:49.134 --> 01:50:49.294]  But
[01:50:50.336 --> 01:50:54.899]  Really what's happening is there comes a point that they have to emerge.
[01:50:54.899 --> 01:50:58.222]  And so they're building it behind the scaffolding.
[01:50:58.222 --> 01:50:59.943]  You ever seen a big ship get launched?
[01:50:59.943 --> 01:51:03.345]  They'll have big doors or a big curtain.
[01:51:03.345 --> 01:51:04.426]  They're building the ship behind that.
[01:51:04.426 --> 01:51:09.410]  And then finally, the day to launch the ship comes and they pull back the giant curtains.
[01:51:09.410 --> 01:51:13.172]  And here's this huge, beautiful ship slides off the blocks into the ocean.
[01:51:13.172 --> 01:51:15.854]  And then, you know, they break some champagne on the bow of it.
[01:51:15.854 --> 01:51:19.857]  And so in the last decade, really, they
[01:51:20.635 --> 01:51:24.997]  Pulled back the curtain, showed us the ship, and said, but it's good.
[01:51:24.997 --> 01:51:27.198]  So we were telling them they're building a ship behind there for tyranny.
[01:51:27.198 --> 01:51:28.078]  They're building world government.
[01:51:28.078 --> 01:51:29.019]  They're going to break up the family.
[01:51:29.019 --> 01:51:30.399]  They're going to cut the resources off.
[01:51:30.399 --> 01:51:31.440]  They're going to take your guns.
[01:51:31.440 --> 01:51:33.000]  They're going to feed your GMO.
[01:51:33.000 --> 01:51:34.341]  They're going to fry you with 5G.
[01:51:34.341 --> 01:51:38.142]  They're going to, we're reading all their plans because we're behind the curtain.
[01:51:38.142 --> 01:51:43.245]  And then they realize at a certain point, Toto can pull back the curtain.
[01:51:43.245 --> 01:51:46.626]  If they kept denying it while it's out in the open, that would just give us more credibility.
[01:51:47.478 --> 01:51:59.230]  So they passed a Rubicon where they censor and attack and demonize those of us that are critical of the global government, but at the same time unveil it and roll it out as if it's something good and the answer to all the problems that they helped create.
[01:51:59.230 --> 01:52:02.433]  And so we've gone from the mask being on to the emergence.
[01:52:02.433 --> 01:52:03.434]  It's kind of like in World War II.
[01:52:04.827 --> 01:52:08.688]  Submarines would run out of torpedoes really quick, but they had their deck gun to sink ships with.
[01:52:08.688 --> 01:52:19.812]  So the Germans particularly, beyond their big mission, they already sunk a bunch of ships, already used their 10 torpedoes, but there's more ships to blow up, more ships to sink, they gotta rise up and use the deck gun to sink the ships.
[01:52:19.812 --> 01:52:25.374]  And so that's what they've done, is the submarine has emerged and is shooting at us right now, and saying it's shooting at us.
[01:52:25.914 --> 01:52:35.157]  And saying to the intelligent people, resistance is futile, you better roll over right now, nobody can stop us, the future's not human, you better join us.
[01:52:35.157 --> 01:52:38.879]  And a lot of people are going, whoa, this is real, what do I do to get on board?
[01:52:38.879 --> 01:52:43.140]  And then a lot of other people that were asleep just go, eh, nothing you can do.
[01:52:43.140 --> 01:52:46.301]  And then those of us that knew we could stop it are saying, see, we warned you.
[01:52:46.301 --> 01:52:48.042]  But it doesn't take a majority to stop this.
[01:52:49.125 --> 01:53:00.874]  If anything, when you read Yuval Noah Harari, who's the high priest of these guys, and Ray Kurzweil, and these guys, and Prince Charles, who's King Charles now, and Klaus Schwab.
[01:53:00.874 --> 01:53:03.596]  I mean, I've read their books, I've read their writings, not just their speeches.
[01:53:03.596 --> 01:53:05.818]  They are maniacs.
[01:53:05.818 --> 01:53:06.418]  I mean, they are.
[01:53:06.418 --> 01:53:07.779]  We are invincible.
[01:53:07.779 --> 01:53:08.800]  Humans are going to live forever.
[01:53:08.800 --> 01:53:11.642]  We're about to be gods, but first we've got to get rid of the general public.
[01:53:11.642 --> 01:53:14.464]  And what we're doing is beautiful work, and we're so amazing.
[01:53:14.464 --> 01:53:17.626]  Yeah, Hitler had his thousand-year Reich, and look how long it lasted.
[01:53:19.429 --> 01:53:29.314]  They are purposely trying to invoke mass Stockholm Syndrome in us by pushing this giant utopia that really is a dystopia.
[01:53:29.314 --> 01:53:34.297]  So they're telling us all the dystopia happening is because we haven't submitted their plan.
[01:53:34.297 --> 01:53:37.218]  But you can pull back and see the dystopia is coming from them.
[01:53:37.218 --> 01:53:39.839]  They say global warming is why we had the virus.
[01:53:39.839 --> 01:53:41.040]  Not it came from a lab.
[01:53:41.040 --> 01:53:43.001]  And more viruses are coming because we're in the jungles.
[01:53:46.013 --> 01:53:57.542]  You know, oh my gosh, the third world, because of global warming, is coming here, not from two years of lockdowns and mass starvation and a big international Gallup poll of the migrants.
[01:53:57.542 --> 01:53:59.283]  It was 10,000 they did just a few months ago.
[01:53:59.283 --> 01:54:02.246]  97% said, we've been locked down for years.
[01:54:02.246 --> 01:54:03.527]  The farms and ranches are closed.
[01:54:03.527 --> 01:54:04.287]  The factories are closed.
[01:54:04.287 --> 01:54:05.308]  There's no food.
[01:54:05.308 --> 01:54:06.089]  We have to come here.
[01:54:06.089 --> 01:54:08.831]  And the UN organized us in our respective countries to come here.
[01:54:09.131 --> 01:54:18.954]  So the UN turns your food off, locks you up, shuts you down, and then organizes you to then invade the first world, where they're now clients of this group that's just been brought in.
[01:54:18.954 --> 01:54:30.657]  This has all been battle-gamed, war-gamed, actuary, and if we just admit it's happening, and admit it's going on, and stop living in denial, we can then organize, get control of local governments, then national governments, and stop this.
[01:54:30.657 --> 01:54:34.318]  But if we don't, it is the design collapse of all the nation-states,
[01:54:35.339 --> 01:54:45.002]  Huge wars, controlled viral releases to bring in tyranny, safe zone cities that are self-sufficient, and lockdown during viral attacks, while they're in the cities.
[01:54:45.002 --> 01:54:49.504]  It's wink-wink, you want to be in the city, because you need to be in a rural place.
[01:54:50.225 --> 01:54:53.827]  They're going to fly over with a drone and nerve gas you and say it was, you know, the virus.
[01:54:53.827 --> 01:54:55.668]  And I mean, I've seen the plans.
[01:54:55.668 --> 01:54:57.249]  I've seen somebody classified plans.
[01:54:57.249 --> 01:54:59.790]  They reclassified about their drone attack plans.
[01:54:59.790 --> 01:55:05.973]  They can fly over with synthetic opiates that kill you better than a hammer, that dissipate, you know, in just a week or so.
[01:55:05.973 --> 01:55:14.898]  And so it's only going to be people that are in these compact megacities that are going to be protected, but they themselves are going to be under an authoritarian control as well.
[01:55:14.898 --> 01:55:18.560]  So they're going to panic all the money to run into these compact cities.
[01:55:20.929 --> 01:55:23.917]  Well, it's road war on the outside and the rest of us get wiped out.
[01:55:23.917 --> 01:55:24.338]  That's the plan.
[01:55:25.604 --> 01:55:35.186]  You've set out what we face, and in the midst of that, you've built something huge, and your name is far and wide.
[01:55:35.186 --> 01:55:40.047]  The only other person I know who does four hours a day is Steve Bannon.
[01:55:40.047 --> 01:55:49.248]  Tell us how you've grown that through blood, sweat and tears to be the voice of reason worldwide that it is now.
[01:55:49.248 --> 01:55:51.228]  Tell us about that.
[01:55:51.228 --> 01:55:53.309]  Well, I mean, look, I've been on the air since 1994.
[01:55:55.402 --> 01:55:58.303]  And it was all knowing this was real.
[01:55:58.303 --> 01:56:00.543]  Because again, they didn't make a big deal about it.
[01:56:00.543 --> 01:56:03.084]  They were all very humble, very polite people.
[01:56:03.084 --> 01:56:21.768]  But I just was so blessed to grow up around people that my mom's dad, my grandfather was a World War II vet in Army Air Corps, and then worked for the oil companies, but also worked with some inventors on secret weapon projects for the Pentagon.
[01:56:22.791 --> 01:56:25.672]  Uh, and then like I said, his son was, you know, high level and all this.
[01:56:25.672 --> 01:56:28.173]  And then, uh, my dad's other family, my family was like that.
[01:56:28.173 --> 01:56:30.494]  So I was just really, really, really, really blessed.
[01:56:30.494 --> 01:56:32.975]  And they were patriots and they didn't like the way it was going.
[01:56:32.975 --> 01:56:38.176]  So I'm sitting around the, you know, the dinner table when I'm three, four, five, six, seven, eight, nine, 10 years old.
[01:56:38.176 --> 01:56:44.999]  Um, you know, by the time I was like 12 or 13, they didn't really talk about stuff in front of me because, you know, this is all secret stuff they were talking about, but like kids aren't kids.
[01:56:44.999 --> 01:56:45.939]  They're not listening.
[01:56:45.939 --> 01:56:50.901]  So I was knee high to a grasshopper, you know, listening to all this stuff.
[01:56:50.901 --> 01:56:51.401]  And, uh,
[01:56:53.630 --> 01:56:58.294]  And, and, and, and just, you know, being blown away by it.
[01:56:58.294 --> 01:57:02.198]  And then I kind of became a teenager and chased girls and kind of forgot about it.
[01:57:02.198 --> 01:57:04.440]  And then I went to community college, decided I wanted to go to college.
[01:57:04.440 --> 01:57:06.322]  And it was all just, America's horrible.
[01:57:06.322 --> 01:57:07.122]  Communism's good.
[01:57:07.122 --> 01:57:08.744]  We're gonna get your guns.
[01:57:08.744 --> 01:57:09.685]  White people are bad.
[01:57:09.685 --> 01:57:09.965]  I'm like,
[01:57:10.583 --> 01:57:11.984]  Well, this is everything I got warned about.
[01:57:11.984 --> 01:57:13.785]  I was like, I better do something about this.
[01:57:13.785 --> 01:57:15.086]  And so that was it.
[01:57:15.086 --> 01:57:19.008]  And then I just like, oh, Access TV is a place because I try to get jobs in radio and they said no.
[01:57:19.008 --> 01:57:21.330]  And I tried to send in tapes of me doing a show.
[01:57:21.330 --> 01:57:24.111]  And I mean, this one, I'm like 18, 19.
[01:57:24.111 --> 01:57:25.752]  And it didn't it didn't discourage me.
[01:57:25.752 --> 01:57:30.235]  And I remember when I was 18, I sent that they were having a contest to hire a new talk show.
[01:57:30.235 --> 01:57:31.356]  So I ended up hiring Jeff Ward.
[01:57:32.282 --> 01:57:42.397]  Uh, but, uh, former NFL kicker, friend of mine now, and I'm, I'm, I'm 18, and, or 19, I guess I'm about 18.
[01:57:42.397 --> 01:57:44.620]  They have a contest that they've gotten rid of their other talk show hosts.
[01:57:44.620 --> 01:57:46.783]  In fact, the new company bought it, they fired everybody.
[01:57:50.390 --> 01:57:56.754]  Two of our best-selling nootropics, or brain boosters, are now back in stock at InfoWarsTore.com.
[01:57:56.754 --> 01:58:01.757]  And for a limited time, they're 50% off when you get them together, or 40% off when you get them individually.
[01:58:01.757 --> 01:58:04.419]  Brain Force Plus and Brain Force Ultra.
[01:58:04.419 --> 01:58:05.860]  Two separate formulas.
[01:58:05.860 --> 01:58:08.462]  They both give you good, clean energy without the crash.
[01:58:09.082 --> 01:58:14.686]  One is a four to six hour good base of clean energy, again with no hangover or letdown.
[01:58:14.686 --> 01:58:20.269]  And the other is a very special proprietary formula, that's RainForce Ultra, that hits really, really quick.
[01:58:20.269 --> 01:58:20.730]  And I love it.
[01:58:20.730 --> 01:58:22.211]  It wears off in two to three hours.
[01:58:22.211 --> 01:58:26.474]  So if I've got to work at night, but don't want to stay up all night, I can take it and stay nine o'clock at night.
[01:58:26.474 --> 01:58:29.616]  Got to stay up till midnight working, doing a radio interview or something, and boom!
[01:58:30.676 --> 01:58:30.857]  Thank you.
[01:58:48.473 --> 01:58:51.195]  There is a war for the future happening right now.
[01:58:51.195 --> 01:58:56.059]  There is a war that will control my destiny, your destiny, our children's destinies.
[01:58:56.059 --> 01:59:01.384]  And that war is something that we can win, but it takes dedication, it takes commitment.
[01:59:01.384 --> 01:59:11.392]  That's why I ask listeners respectfully to go to MFORWARESTORE.COM and buy great products that will enrich and empower your life while keeping us on air at the very same time.
[01:59:12.092 --> 01:59:18.335]  Infowarstore.com to get a signed or unsigned copy of my book, The Great Reset and War for the World.
[01:59:18.335 --> 01:59:20.256]  Ultimate Bone Broth, back in stock.
[01:59:20.256 --> 01:59:27.359]  Nitric Boost, the amazing CBD oil we have that's the highest quality you're going to find anywhere at more than half off.
[01:59:27.979 --> 01:59:30.180]  It's all available at InfoWarsTore.com.
[01:59:30.180 --> 01:59:32.001]  Some of the very best products.
[01:59:32.001 --> 01:59:34.142]  And a lot of you have never shopped at InfoWarsTore.
[01:59:34.142 --> 01:59:39.465]  You've been watching for years, you've been listening for years, but you've never taken the step to go to InfoWarsTore.
[01:59:39.465 --> 01:59:42.386]  These are great products that really work and are amazing.
[01:59:42.386 --> 01:59:43.707]  Plus, they keep us on air.
[01:59:43.707 --> 01:59:45.207]  So again, please take action.
[01:59:45.207 --> 01:59:47.789]  Go to InfoWarsTore.com today.
[01:59:47.789 --> 01:59:55.873]  If you are receiving this transmission, you are the resistance.
