[00:00:00.209 --> 00:00:00.650]  I will.
[00:26:37.475 --> 00:26:38.236]  Hello, Alex.
[00:26:38.396 --> 00:26:43.380]  I just wanted to remind you that they've had race-specific bioweapons for at least 50 years.
[00:26:43.780 --> 00:26:45.882]  Don't you remember the Tuskegee experiment?
[00:26:47.303 --> 00:26:49.365]  For those that don't know about that, why don't you tell them?
[00:26:50.065 --> 00:26:55.750]  Well, it was a specific strain of, I believe, syphilis that was introduced to the black population.
[00:26:56.323 --> 00:27:07.474]  And it was done at the government funding and request in order to see how severe it would become, if it would become terminal, and to see how rapidly it would spread.
[00:27:07.754 --> 00:27:15.262]  Now, when the government first got caught doing that, they said, oh, we just didn't give black men treatment in a study over 45 years.
[00:27:16.603 --> 00:27:27.753]  And we did let them spread it but now it's come out that yes indeed they were giving black men syphilis and then not giving them treatment to study this disease.
[00:27:27.793 --> 00:27:28.034]  Yes.
[00:27:28.734 --> 00:27:33.799]  It's sort of like the hepatitis B vaccine they released out of the
[00:27:34.432 --> 00:27:34.772]  U.S.
[00:27:34.872 --> 00:27:45.157]  weapons lab in San Francisco, Los Angeles, and New York that surprisingly was given to the gay male population about the same time AIDS broke out.
[00:27:45.417 --> 00:27:51.059]  And by the way, we have the government documents, official stuff, where they engineered the AIDS virus.
[00:27:51.119 --> 00:27:53.060]  That is not debatable.
[00:27:53.440 --> 00:27:56.461]  That is documented historical fact.
[00:27:56.501 --> 00:27:57.522]  And for those that just joined us,
[00:27:58.671 --> 00:28:05.235]  Dick Cheney in one of the PNAC documents said we need to legitimize the use of race-specific bioweapons.
[00:28:05.675 --> 00:28:10.958]  How can they write documents like that and then not have it be a major media issue?
[00:28:11.238 --> 00:28:14.180]  It's been in the London Guardian, for my knowledge, and that's it.
[00:28:15.592 --> 00:28:18.994]  I haven't seen it anywhere else, Alex, but I appreciate you bringing it out.
[00:28:19.375 --> 00:28:21.256]  God bless you and God bless America.
[00:28:21.536 --> 00:28:22.557]  God bless you, my friend.
[00:28:22.717 --> 00:28:26.659]  And understand, it's not just, oh, it's just the London Guardian saying it.
[00:28:27.120 --> 00:28:28.741]  I went to the PNAC document.
[00:28:28.861 --> 00:28:29.561]  It is there.
[00:28:30.062 --> 00:28:30.902]  They say it.
[00:28:31.403 --> 00:28:35.605]  It's documented fact, but only the London Guardian has written an article about it.
[00:28:36.926 --> 00:28:37.987]  Ask yourself that question.
[00:28:38.047 --> 00:28:38.287]  Why?
[00:28:39.108 --> 00:28:40.409]  Joe in New York, go ahead.
[00:28:40.969 --> 00:28:43.451]  Hey, Alex, just in case your listeners are not aware of this.
[00:28:44.363 --> 00:28:50.807]  There's a woman, because I know you mentioned it a few times, but just to state my statement, I'd just like to reiterate a little bit.
[00:28:51.207 --> 00:28:57.471]  There's a woman, Ellen Mariani, that's actually suing the Bush administration because she lost a husband in the 9-11 event.
[00:28:58.452 --> 00:29:12.380]  And David Chippis, which is also an attorney in Washington, D.C., happened to receive, I believe, federal documents claiming that the Bush administration knew several weeks before the 9-11 event, and he tried
[00:29:13.097 --> 00:29:17.341]  He was calling the Bush administration on the phone and basically he was stonewalled.
[00:29:17.521 --> 00:29:19.082]  Yeah, we had David Chippers on the show.
[00:29:19.283 --> 00:29:19.483]  Right.
[00:29:19.523 --> 00:29:26.129]  My question is, how come you don't hear anything about David Chippers getting in contact with Ellen Mariani?
[00:29:28.471 --> 00:29:29.252]  All he has.
[00:29:30.012 --> 00:29:32.275]  Yeah, all these folks have been talking.
[00:29:32.315 --> 00:29:32.575]  Look.
[00:29:34.477 --> 00:29:34.977]  Okay, in late 2000 and
[00:29:38.467 --> 00:29:39.408]  I'd like to hold on, Alex.
[00:29:39.528 --> 00:29:40.209]  I'd like to hold on.
[00:29:40.289 --> 00:29:40.909]  Yeah, sure.
[00:29:40.989 --> 00:29:41.650]  Sure, stay there.
[00:29:42.090 --> 00:29:53.500]  In late 2002, David Shippers, Larry Klayman of Judicial Watch, FBI agent Robert Wright, stood up the National Press Club and said, we were going to have a press conference, but we can't.
[00:29:53.901 --> 00:29:59.305]  Here's a letter from the Justice Department saying we'll be arrested if we tell you what we know.
[00:30:00.026 --> 00:30:01.147]  Talk about a cover-up!
[00:30:02.528 --> 00:30:03.429]  We're on the march.
[00:30:03.909 --> 00:30:05.431]  The Empire's on the run.
[00:30:06.437 --> 00:30:09.198]  Alex Jones and the GCN Radio Network.
[00:30:12.278 --> 00:30:17.799]  Whether you live in the country or simply dream about living in the country, Countryside and Small Stock Journal is the magazine for you.
[00:30:17.999 --> 00:30:20.900]  You'll learn how to make cheese, sausage, wine, soap and more.
[00:30:21.000 --> 00:30:24.180]  Build a cider press, a year-round greenhouse, or even your own home.
[00:30:24.360 --> 00:30:30.422]  Raise and care for poultry, rabbits, sheep and goats, and cook delicious meals from scratch with food grown in your own backyard.
[00:30:30.542 --> 00:30:32.682]  With Countryside, you'll learn handy gardening tricks,
[00:30:32.802 --> 00:30:36.044]  How to save money, old-time skills, what's new in alternative energy.
[00:30:36.184 --> 00:30:39.347]  How to be healthier and happier by living a simpler, more stress-free life.
[00:30:39.507 --> 00:30:42.729]  And if you act now, we'll send you a sample issue absolutely free.
[00:30:42.889 --> 00:30:44.851]  Just call 1-800-551-5691.
[00:30:46.192 --> 00:30:49.394]  We'll rush you the latest issue of Countryside without cost or obligation.
[00:30:49.554 --> 00:30:53.357]  That's 1-800-551-5691 to get your free issue.
[00:30:53.517 --> 00:30:56.899]  If you like what you see, pay the invoice and enjoy Countryside for a full year.
[00:30:57.060 --> 00:31:01.743]  If you decide it's not for you, simply write cancel on the invoice, but keep the magazine just for taking a look.
[00:31:01.943 --> 00:31:02.784]  It's as simple as that.
[00:31:03.004 --> 00:31:06.888]  Get ready to live the good life and call 1-800-551-5691 or visit our website at www.countrysidemag.com
[00:31:12.441 --> 00:31:17.144]  Forecasting the weather with any amount of accuracy takes a meteorologist with years of schooling and experience.
[00:31:17.384 --> 00:31:20.806]  Forecasting what the financial markets will be doing in the future takes the same thing.
[00:31:21.027 --> 00:31:23.488]  No, not a meteorologist, a lot of schooling and experience.
[00:31:23.748 --> 00:31:32.334]  Although most people check the weather forecast before venturing outside to avoid a good soaking, it's amazing how few people check the financial forecast before they invest and end up getting soaked.
[00:31:32.694 --> 00:31:38.478]  Before you venture into the financial world, check the forecast with the International Forecaster Newsletter written by Bob Chapman.
[00:31:38.738 --> 00:31:40.700]  Chapman's predictions are legendary.
[00:31:40.940 --> 00:31:47.867]  Backed by over 40 years of successfully forecasting the world's financial markets, Bob has helped thousands of people make sense of their financial futures.
[00:31:48.227 --> 00:31:54.694]  Midas Resources is pleased to offer a subscription to the International Forecaster newsletter free of charge with a qualifying order.
[00:31:54.954 --> 00:32:02.281]  That's right, for a limited time, Midas Resources is offering a one-year subscription to Bob Chapman's powerful newsletter, the International Forecaster.
[00:32:02.521 --> 00:32:06.964]  Call 800-686-2237 for more information or to place your order.
[00:32:07.064 --> 00:32:07.785]  That's 800-686-2237.
[00:32:08.465 --> 00:32:11.868]  Call today and avoid getting soaked tomorrow.
[00:32:12.428 --> 00:32:16.031]  I have tried and been on so many weight loss things over the years.
[00:32:16.071 --> 00:32:17.652]  I've tried many, many products.
[00:32:17.832 --> 00:32:20.074]  I have never experienced anything like Collagenate.
[00:32:20.574 --> 00:32:24.377]  I have lost 17 pounds in a little less than 8 weeks.
[00:32:24.817 --> 00:32:25.478]  It truly works.
[00:32:25.902 --> 00:32:27.082]  Collagenate is wonderful.
[00:32:27.462 --> 00:32:33.403]  Join the crowd of people that have been telling us how much weight they've been losing through Collagenate from Vim and Vigor.
[00:32:33.503 --> 00:32:39.624]  Vim and Vigor's Collagenate works with your body to improve fat metabolism and that means a leaner, healthier you.
[00:32:39.985 --> 00:32:44.005]  Our listeners keep telling us Vim and Vigor's Collagenate really does work.
[00:32:44.365 --> 00:32:45.426]  It's healthy for you too.
[00:32:45.806 --> 00:32:53.287]  In addition to helping you lose weight, Collagenate is also designed to improve strength and health of muscles, joints, skin, hair and nails.
[00:32:53.707 --> 00:32:55.929]  So take Collagenate and rejuvenate.
[00:32:56.009 --> 00:32:57.070]  Call Vim and Vigor today.
[00:32:57.090 --> 00:32:57.350]  1-800-622-FIN.
[00:32:57.390 --> 00:32:57.650]  That's 1-800-622-8446.
[00:32:57.710 --> 00:33:00.172]  And listen, get $25 off a 3-month supply of Collagenate.
[00:33:00.233 --> 00:33:00.793]  So call now.
[00:33:00.813 --> 00:33:00.953]  1-800-622-FIN.
[00:33:01.093 --> 00:33:01.353]  Again, 1-800-622-8446.
[00:33:22.839 --> 00:33:25.041]  Monday through Friday from 11 to 2.
[00:33:26.742 --> 00:33:31.765]  Back from 9 to midnight central, we do this show as we blast out on the AM and FM dial.
[00:33:32.285 --> 00:33:34.567]  From Los Angeles, California to Rhode Island.
[00:33:35.407 --> 00:33:36.388]  Providence, Rhode Island.
[00:33:36.548 --> 00:33:38.709]  From Austin, Texas to Kansas City, Missouri.
[00:33:39.470 --> 00:33:42.792]  We also simulcast on Global Shortwave at 12.172 and 93.20 from 9 to midnight.
[00:33:48.177 --> 00:33:48.398]  Uh, 5.085 and 6890.
[00:33:48.478 --> 00:33:49.960]  The daytime frequency is 12.172 and 9320 from 11 to 2.
[00:33:50.000 --> 00:33:52.124]  Also, you can always listen at infowars.com or prisonplanet.com.
[00:34:02.336 --> 00:34:07.100]  We go out on two digital satellites, ABC and Clear Channel.
[00:34:07.621 --> 00:34:08.922]  We lease feeds on those.
[00:34:09.683 --> 00:34:13.926]  We have two analog feeds, Galaxy 1 and now Galaxy 13.
[00:34:14.467 --> 00:34:19.832]  And that new satellite that's replacing Galaxy 9 is at GCNLive.com.
[00:34:21.133 --> 00:34:30.281]  Okay, before I go back to Joe and Charles and Mark and Jim and others, last week I mentioned
[00:34:31.730 --> 00:34:41.032]  The fact that Bush is scheduled on Wednesday, now he was scheduled last month on the 100th anniversary of powered flight to announce it.
[00:34:41.373 --> 00:34:58.437]  He suspended that announcement for the time being, but they're saying yet again in the Associated Press that Bush, this Wednesday, is going to announce a new moon mission, going back to the moon, and a first time mission by human beings to Mars.
[00:35:00.495 --> 00:35:04.938]  I guess trying to relive the announcements of John F. Kennedy.
[00:35:07.000 --> 00:35:10.582]  So if listeners want to comment on this, we really haven't had a discussion of it.
[00:35:10.642 --> 00:35:12.243]  I've read a few articles about it.
[00:35:12.283 --> 00:35:13.384]  I find it very interesting.
[00:35:13.725 --> 00:35:15.806]  I'd like to get your take on it and what you think about it.
[00:35:15.846 --> 00:35:16.647]  Is it a good idea?
[00:35:16.987 --> 00:35:17.807]  A bad idea?
[00:35:18.388 --> 00:35:20.229]  Why do you think Bush is scheduled to do this?
[00:35:20.329 --> 00:35:21.710]  What do you think of NASA?
[00:35:22.471 --> 00:35:23.912]  And of course, I've got my own comments.
[00:35:24.192 --> 00:35:26.634]  We've got Paul Watson joining us in about an hour.
[00:35:27.657 --> 00:35:30.379]  And he'll be with us for 30 minutes or more with a report.
[00:35:30.940 --> 00:35:36.304]  And then the last 30 minutes of the show, we got Jack Foote from Ranch Rescue coming on.
[00:35:36.344 --> 00:35:51.575]  That's the group that goes down and documents the open borders and tries to protect people's ranches from the thousands, in some cases, per ranch, per week, of illegals that are trespassing and vandalizing and robbing and raping and killing, in some cases, including border patrol agents.
[00:35:51.936 --> 00:35:54.638]  Even killing them, forestry agents, you name it.
