[00:00:01.149 --> 00:00:02.749]  At 888-803-4438.
[00:24:59.247 --> 00:25:01.868]  Yeah, thanks a lot, Alex, and Happy New Year to you and yours.
[00:25:02.308 --> 00:25:02.729]  Thank you.
[00:25:03.629 --> 00:25:10.193]  What I really wanted to discuss was I wrote a letter to Homeland Security in reference to your 9-1-1 road to tyranny.
[00:25:10.822 --> 00:25:11.142]  Yes.
[00:25:11.282 --> 00:25:25.026]  And I talked to them about the founding fathers being called terrorists, how upset I was being a veteran and being labeled a right-wing extremist because I believe in the Constitution and that we're a republic and not a democracy.
[00:25:25.546 --> 00:25:28.267]  Well, they deny that anything ever occurred in Kansas City.
[00:25:29.164 --> 00:25:31.725]  Well, sir, I'd like to see a copy of their letter.
[00:25:31.785 --> 00:25:32.806]  What does their letter say?
[00:25:32.886 --> 00:25:48.414]  Okay, it says, this is in response to your request of October 29, 2003 under the Freedom of Information Act for access to documents pertaining to a presentation by FEMA to law enforcement personnel in Kansas City, Missouri at some time following September 11, 2001.
[00:25:48.934 --> 00:25:54.197]  Despite an exhaustive search, we are unable to locate records responsive to your request, and then they told me
[00:25:57.271 --> 00:26:04.832]  Well, sir, I'm begging you to send me a copy of that letter.
[00:26:04.852 --> 00:26:06.613]  You can block out your name and your address and all that.
[00:26:06.633 --> 00:26:07.353]  I'm not worried about that.
[00:26:08.073 --> 00:26:12.794]  I'm an organization and they're going to send the stuff free to me if I can give them more detailed information.
[00:26:13.275 --> 00:26:19.316]  That's why I wanted to know if you know the official that was speaking to them and exactly where was it held and when.
[00:26:20.076 --> 00:26:22.877]  Okay, now, in 9-11 Road to Tyranny,
[00:26:24.225 --> 00:26:28.869]  We show the famous flyer from Arizona.
[00:26:29.990 --> 00:26:31.391]  Right, I'm going to send them a copy of that.
[00:26:31.932 --> 00:26:32.332]  Pardon me?
[00:26:32.592 --> 00:26:35.615]  When I send this back to them, I'm sending a copy of that pamphlet.
[00:26:35.815 --> 00:26:37.036]  So you have a copy of that?
[00:26:37.136 --> 00:26:38.117]  Yeah, I got it up here.
[00:26:38.137 --> 00:26:39.998]  And that has the phone numbers of the FBI.
[00:26:40.218 --> 00:26:40.499]  Right.
[00:26:40.519 --> 00:26:43.221]  And that's what I'm going to send to them and say, what are you doing?
[00:26:43.481 --> 00:26:50.527]  I mean, I've got a warrant officer that discompleted his schooling, and then I showed him the Michael New videotape in your
[00:26:52.165 --> 00:26:54.068]  Well, let me just stop for just a second and try to answer your question.
[00:26:54.088 --> 00:26:55.270]  This is a very important one, Danny.
[00:26:55.310 --> 00:26:56.191]  I don't have the original.
[00:26:56.211 --> 00:26:57.794]  I have 18 hours of video this firefighter sent me.
[00:27:08.909 --> 00:27:11.250]  Uh, no, 17 and a half hours of video.
[00:27:11.270 --> 00:27:15.832]  Uh, the guy's name is on it, and I could go back and find that for you.
[00:27:15.852 --> 00:27:21.634]  Uh, but that was held, uh, in a police classroom, uh, in Kansas City.
[00:27:21.674 --> 00:27:24.996]  That firefighter that sent it to me is a listener of this show.
[00:27:25.076 --> 00:27:27.817]  Perhaps he could call in with more details, but in the film,
[00:27:28.675 --> 00:27:30.216]  We don't just have that video.
[00:27:30.597 --> 00:27:35.100]  We have the training manuals, the flyers, the news articles.
[00:27:35.621 --> 00:27:36.722]  I mean, it's all right there.
[00:27:36.862 --> 00:27:38.503]  I have an entire box.
[00:27:38.623 --> 00:27:40.305]  That's what I'm trying to get to.
[00:27:40.605 --> 00:27:49.973]  I have an entire box of training manuals from all over the country, other videotapes of the same stuff police have sent me.
[00:27:49.993 --> 00:27:51.914]  This is going on everywhere.
[00:27:51.954 --> 00:27:55.857]  This has been all over the Washington Times, all over the Associated Press.
[00:27:55.998 --> 00:27:57.339]  Everybody knows about this.
[00:27:58.239 --> 00:28:06.505]  Uh, this has been an Insight Magazine, as I said, and so for them to deny that this is what's being trained, taught to police, is a fraud.
[00:28:07.005 --> 00:28:08.446]  I know, and that's why I'm so upset.
[00:28:08.966 --> 00:28:10.347]  Because I know it's on video.
[00:28:11.488 --> 00:28:12.889]  I mean, you've got the videotape.
[00:28:12.909 --> 00:28:18.092]  Yeah, but we also have, we also have the flyers and training manuals with names and phone numbers.
[00:28:18.492 --> 00:28:18.772]  Right.
[00:28:18.832 --> 00:28:23.435]  And you say, I mean, you can go online, that flyer is everywhere, it's on InfoWars.com.
[00:28:23.755 --> 00:28:26.137]  You can call those phone numbers, the FBI will answer.
[00:28:27.054 --> 00:28:28.014]  I mean, they put it out.
[00:28:28.054 --> 00:28:29.235]  They admit they put it out.
[00:28:29.475 --> 00:28:32.516]  I don't, you know, saying anybody who makes frequent references to the U.S.
[00:28:32.556 --> 00:28:36.558]  Constitution, says they're defenders of the Constitution, is a terrorist.
[00:28:36.858 --> 00:28:42.240]  We've got the FEMA guy on tape saying the Founding Fathers are terrorists, the Christians are terrorists.
[00:28:42.260 --> 00:28:43.541]  I mean, that's what they teach!
[00:28:44.341 --> 00:28:55.926]  Right, and that's why I'm so upset, because I happen to be a homeschooler, a constitutionalist, and I'm against the U.N., so... Well, I'm glad you're upset about this, and
[00:28:57.093 --> 00:28:58.674]  I've got this whole box of stuff.
[00:28:58.734 --> 00:29:06.699]  I plan to make another film and add more to that, but in the video we have the Washington Times.
[00:29:07.940 --> 00:29:11.883]  The Washington Times headline was, Constitutional Terrorist.
[00:29:12.443 --> 00:29:21.689]  Type that into a search engine, type Insight Magazine, Constitutional Terrorist in, and you will get the Washington Times talking about the flyers.
[00:29:22.518 --> 00:29:28.361]  And, uh, again, I don't have the video up in front of me right now, but it's just jammed full of evidence.
[00:29:29.542 --> 00:29:31.643]  Well, you know, I see a runaway government now.
[00:29:32.064 --> 00:29:35.085]  It's, you know, they're not even going by the Constitution anymore.
[00:29:35.906 --> 00:29:44.811]  And it's really getting frustrating, because there doesn't seem to be anything you can do, because when you write your congressman, they send you back a letter
[00:29:45.698 --> 00:29:48.721]  Or more than nine times out of ten, they don't even respond to your letter.
[00:29:48.741 --> 00:29:50.702]  Well, Danny, I'm surprised you got a letter back.
[00:29:50.722 --> 00:29:52.904]  Was this from Homeland Security or something?
[00:29:52.924 --> 00:29:54.846]  Yeah, it sure is.
[00:29:54.946 --> 00:29:55.706]  I emailed them.
[00:29:56.047 --> 00:29:59.470]  What I did was I got on the internet and I emailed them and told them everything about it.
[00:29:59.570 --> 00:30:03.473]  And they sent me back an attached form, which is a letter, and I printed it out.
[00:30:03.953 --> 00:30:06.395]  And then I'll just... I can send you the email.
[00:30:06.435 --> 00:30:07.016]  Yeah, do that.
[00:30:07.036 --> 00:30:08.337]  Thanks for the call.
[00:30:08.377 --> 00:30:09.418]  We'll cover it more.
[00:30:09.678 --> 00:30:09.998]  Thank you.
[00:30:11.279 --> 00:30:12.160]  We're on the march.
[00:30:12.681 --> 00:30:14.182]  The Empire's on the run.
[00:30:15.189 --> 00:30:17.994]  Alex Jones and the GCN Radio Network.
[00:30:20.998 --> 00:30:25.065]  We've all heard that garlic has been used for centuries to ward off everything from diseases to demons.
[00:30:25.385 --> 00:30:28.971]  What is it about garlic that makes it the most recognized and widely used spice in history?
[00:30:29.231 --> 00:30:30.153]  It's called allicin.
[00:30:30.618 --> 00:30:33.482]  Allison is the primary active ingredient in fresh crushed garlic.
[00:30:33.822 --> 00:30:39.369]  According to the Journal of Agriculture and Food Chemistry, garlic has only 5,000 micrograms of allicin potential.
[00:30:39.790 --> 00:30:42.954]  Garlamax has only 5,500 micrograms of allicin potential.
[00:30:43.194 --> 00:30:45.156]  But Allomax has 180,000 micrograms of allicin yield guaranteed.
[00:30:48.479 --> 00:30:53.624]  That's why Allomax stands head, shoulders, hips, and ankles above every other garlic product on the market today.
[00:30:53.924 --> 00:30:54.765]  Call 877-817-9829 to order Allomax.
[00:30:54.785 --> 00:30:55.105]  That's 877-817-9829.
[00:30:55.125 --> 00:30:59.269]  Garlic is the number one all-natural, antiviral, and antibacterial spice on Earth, and Allison is the reason.
[00:31:06.854 --> 00:31:09.756]  When you need the power of Garlic, you need the power of Alimax.
[00:31:09.996 --> 00:31:11.437]  Call 877-817-9829.
[00:31:12.237 --> 00:31:16.039]  That's 877-817-9829.
[00:31:16.099 --> 00:31:19.661]  And remember, Garlic is Allison, and Allison is Alimax.
[00:31:20.442 --> 00:31:24.664]  Our founding fathers wrote down for all time our most precious documents of freedom.
[00:31:25.134 --> 00:31:29.697]  The Declaration of Independence, the Constitution, the Bill of Rights, and Lincoln's Gettysburg Address.
[00:31:30.077 --> 00:31:34.940]  These are the purest forms of our country's freedom before the thousands of politicians got their hands on them.
[00:31:35.320 --> 00:31:37.101]  The Declaration in Washington, D.C.
[00:31:37.141 --> 00:31:38.182]  can barely be read.
[00:31:38.462 --> 00:31:39.442]  It has faded that much.
[00:31:39.783 --> 00:31:43.665]  Now is your chance and your patriotic duty to have it in your home or office.
[00:31:43.945 --> 00:31:52.309]  We bring them to you by using an 11-step process, reproducing these historic documents in exacting detail on antiqued parchment paper all ready for framing.
[00:31:52.569 --> 00:32:00.433]  But you don't just get the declaration which sells for over $100 when framed, but all four documents for just $24.95 shipping included.
[00:32:00.753 --> 00:32:04.675]  And as a special gift for ordering now, you will also receive a commemorative U.S.
[00:32:04.715 --> 00:32:06.956]  Constitution proof silver dollar with your order.
[00:32:07.296 --> 00:32:12.520]  Call now toll-free 800-686-2237 and order the Documents of Freedom.
[00:32:12.840 --> 00:32:14.241]  Don't wait, do it today!
[00:32:14.601 --> 00:32:17.723]  The number 800-686-2237.
[00:32:17.964 --> 00:32:24.308]  This is Joyce Riley and most of you know I've searched for over five years to find something to help the vets.
[00:32:24.667 --> 00:32:26.548]  Well, I found something that will help everybody.
[00:32:26.948 --> 00:32:32.731]  Miracle-2 Soap, Neutralizer Gel, and Skin Moisturizer have prompted testimonies from people all over the country.
[00:32:33.232 --> 00:32:37.774]  Around the house, it's gentle enough to wash your hair, strong enough for your toughest jobs.
[00:32:38.174 --> 00:32:41.316]  In a garden, it controls pests and can increase your yield 200%.
[00:32:42.597 --> 00:32:47.499]  We've all heard news stories about products that cause cancer, birth defects, or other health problems.
[00:32:47.879 --> 00:32:52.462]  Well, many people who have used Miracle-2 products have stated that they have literally washed their problems away.
[00:32:53.168 --> 00:32:55.569]  The folks from Miracle-2 don't have to make these claims.
[00:32:55.849 --> 00:32:57.409]  Their customers do it for them.
[00:32:57.969 --> 00:33:01.771]  Try Miracle-2 and you just might find yourself working miracles in your home.
[00:33:02.251 --> 00:33:04.291]  Call the Power Hour order line 877-485-3838.
[00:33:04.351 --> 00:33:07.032]  Place your order today and start having miracles in your life.
[00:33:07.052 --> 00:33:07.232]  Call 877-485-3838.
[00:33:07.252 --> 00:33:08.273]  Miracle-2 isn't just soap.
[00:33:08.293 --> 00:33:08.633]  It's a miracle.
[00:33:29.824 --> 00:33:30.846]  We're good to go.
[00:33:45.766 --> 00:33:47.166]  Welcome back, ladies and gentlemen.
[00:33:47.726 --> 00:33:49.967]  Thank you for joining us today.
[00:33:50.187 --> 00:33:52.828]  It is the first live show I've done.
[00:33:52.868 --> 00:33:54.608]  I took off on New Year's Day.
[00:33:55.028 --> 00:33:56.028]  Spent time with the family.
[00:33:56.108 --> 00:33:57.969]  It is the second day of January, 2003.
[00:33:58.509 --> 00:34:07.411]  We're about to go back to the calls of John and Joe and Marcello and Christopher and Jerry and many others and a ton of vital news and information.
[00:34:07.811 --> 00:34:12.732]  But you just heard the caller in the last segment talk about 9-11 and the road to tyranny.
