[00:00:00.209 --> 00:00:01.629]  ...and cover us.
[00:24:32.716 --> 00:24:36.100]  It comes with a 30-day return policy and a one-year limited warranty.
[00:24:36.520 --> 00:24:39.621]  For more information, call Alternative Technologies toll-free.
[00:24:39.621 --> 00:24:39.681]  866-885-6625.
[00:24:39.681 --> 00:24:40.001]  866-885-6625.
[00:24:40.001 --> 00:24:40.901]  One more time, that's 866-885-6625.
[00:24:40.901 --> 00:24:41.282]  Call today.
[00:24:41.282 --> 00:24:45.863]  From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[00:24:45.863 --> 00:24:47.784]  It's Alex Jones and the GCN Radio Network.
[00:25:07.230 --> 00:25:10.192]  I've got a report here on what the Trilateral Commission's up to.
[00:25:10.192 --> 00:25:12.234]  Also, FEMA inspectors included criminals.
[00:25:12.234 --> 00:25:14.216]  Agency relied on them for honest reports.
[00:25:14.216 --> 00:25:14.796]  Of course they did.
[00:25:14.796 --> 00:25:16.558]  I knew they were criminals.
[00:25:16.558 --> 00:25:16.698]  U.S.
[00:25:16.698 --> 00:25:19.040]  prison rates soar as even higher.
[00:25:19.040 --> 00:25:20.541]  Don't worry, they're building even more prisons.
[00:25:20.541 --> 00:25:24.004]  So they're not going to criminalize any and all behavior.
[00:25:24.004 --> 00:25:25.705]  Students, again, are fighting the Patriot Act.
[00:25:26.600 --> 00:25:35.104]  We'll also get into GM industry, that is genetically modified industry, puts human gene into rice you're going to be eating.
[00:25:35.104 --> 00:25:39.186]  You thought cockroach genes were bad and most tomatoes now.
[00:25:39.186 --> 00:25:47.809]  Clinton backs Blair's Labour Party in British elections, pro-war, pro-open border Labour Party, just like he backs Lord Bush.
[00:25:47.809 --> 00:25:49.910]  And it's all coming up.
[00:25:49.910 --> 00:25:52.291]  There's just so much today.
[00:25:52.291 --> 00:25:54.072]  Before we go to Paul Watson, he'll be with us
[00:25:54.747 --> 00:25:55.147]  We're good to go.
[00:26:17.512 --> 00:26:22.516]  They're telling you don't look under the floorboards, just trust us.
[00:26:22.516 --> 00:26:23.437]  Go along with us.
[00:26:23.437 --> 00:26:26.220]  9-11 was run by some men in a cave.
[00:26:26.220 --> 00:26:27.681]  They made NORAD stand down.
[00:26:27.681 --> 00:26:30.003]  They called public officials and warned them not to fly.
[00:26:30.003 --> 00:26:31.865]  They did CIA insider trading.
[00:26:31.865 --> 00:26:37.049]  They made Larry Silverstein say that he blew the buildings up on PBS.
[00:26:37.049 --> 00:26:37.690]  On and on and on.
[00:26:38.869 --> 00:26:48.818]  If you're tired of them, if you want to stop them, if you want to hurt them, if you want to expose them, if you want to save this country, we've got to create an awakening to who is behind the terror.
[00:26:48.818 --> 00:26:57.206]  How the globalists are behind it to bring in the crises, to sweep aside the republic, and bring in the new world order empire.
[00:26:57.206 --> 00:26:59.468]  This film does it, like no other.
[00:26:59.468 --> 00:27:04.973]  It covers the police state for thirty-something minutes, 9-11 for an hour of focus like a particle beam,
[00:27:05.965 --> 00:27:16.573]  Truth at a full hour on who the Globalists are, what makes them tick, and what makes their whole master plan basically fall apart if you simply wake up to it.
[00:27:16.573 --> 00:27:18.154]  You need this video.
[00:27:18.154 --> 00:27:23.599]  You need Martial Law 9-11 Rise of the Police State.
[00:27:23.599 --> 00:27:25.140]  $25.95, really three films in one.
[00:27:25.140 --> 00:27:29.363]  Get a second copy for $19.95, a third copy for $16, a fourth copy for $14.
[00:27:29.363 --> 00:27:33.927]  You can get them as low as $14 a piece when you get multiple copies.
[00:27:33.927 --> 00:27:35.548]  Or just buy one and make copies.
[00:27:36.348 --> 00:27:39.871]  But if you're wanting to support us by multiple copies, just get one.
[00:27:39.871 --> 00:27:40.472]  Please get it.
[00:27:40.472 --> 00:27:41.312]  Please make copies.
[00:27:41.312 --> 00:27:42.794]  Please get it out to people.
[00:27:42.794 --> 00:27:44.515]  Toll-free number to get my new film.
[00:27:44.515 --> 00:27:45.496]  1-888-253-3139.
[00:27:45.496 --> 00:27:54.864]  Of course, my other 11 films, this is my 12th film, my other 11 are excellent.
[00:27:54.864 --> 00:27:58.887]  Big discounts on those, as low as $5.95 when you get multiple copies.
[00:27:58.887 --> 00:28:00.789]  We're still offering those discounts.
[00:28:00.789 --> 00:28:02.891]  I've decided to extend them out indefinitely.
[00:28:02.891 --> 00:28:04.032]  I just want to get this material out.
[00:28:04.565 --> 00:28:06.866]  1-888-253-3139.
[00:28:06.866 --> 00:28:12.029]  When you call, just be sure and ask about the different specials.
[00:28:12.029 --> 00:28:13.770]  1-888-253-3139.
[00:28:13.770 --> 00:28:19.532]  Or go to InfoWars.com to peruse the Safe, Secure Shopping Cart.
[00:28:19.532 --> 00:28:20.753]  Look at all the different specials.
[00:28:20.753 --> 00:28:21.793]  Watch clips of the films.
[00:28:21.793 --> 00:28:24.315]  In some cases, upwards of half the films.
[00:28:24.315 --> 00:28:27.096]  And we'll have half the film there for free, depending on what film it is.
[00:28:27.096 --> 00:28:28.717]  So you get an idea of the material.
[00:28:28.717 --> 00:28:30.298]  And hopefully wake up.
[00:28:30.298 --> 00:28:30.998]  Or wake others up.
[00:28:31.718 --> 00:28:41.501]  Infowars.com to order, or just write to me, Alex Jones, at 3001 South Lamar Suite 100, Austin, TX 78704.
[00:28:41.501 --> 00:28:43.001]  Please don't wait!
[00:28:43.001 --> 00:28:48.603]  It's so important to expose the murdering terrorists that are the New World Order before they strike again.
[00:28:48.603 --> 00:28:59.726]  And don't forget PrisonPlanet.tv, my book, Paul Watson's book, my weekly TV reports, special reports that are not on the TV show or even in the films, just on the website.
[00:29:00.753 --> 00:29:08.137]  Hundreds of audio interviews, new interviews every week, dozens of other films, all my films, martial law in its entirety.
[00:29:08.137 --> 00:29:12.939]  Watch it all right now in high bandwidth or low bandwidth at PrisonPlanet.tv.
[00:29:12.939 --> 00:29:18.381]  Fifteen cents a day, monthly and yearly subscriptions, a cup of coffee's a dollar, folks.
[00:29:18.381 --> 00:29:21.362]  Fifteen cents a day, PrisonPlanet.tv.
[00:29:21.362 --> 00:29:23.543]  It's so easy to sign up and get your membership.
[00:29:23.543 --> 00:29:24.564]  Takes about a minute and a half.
[00:29:25.501 --> 00:29:29.244]  For people that are slow on computers like myself, it takes about a minute if you're fast.
[00:29:29.244 --> 00:29:30.745]  PrisonPlanet.TV.
[00:29:30.745 --> 00:29:33.927]  Alright, without further ado, let's go to Paul Watson.
[00:29:33.927 --> 00:29:46.376]  Paul, there's a lot of news I want to blitz through and shotgun through, but I'd imagine since we just ended the last segment playing that clip of a little girl in Florida,
[00:29:47.361 --> 00:29:48.962]  We had to help her, they said.
[00:29:48.962 --> 00:29:52.103]  We had to felony charge the five-year-old.
[00:29:52.103 --> 00:29:54.784]  We have to call an outside help to help her.
[00:29:54.784 --> 00:29:56.505]  We're going to help her, Paul.
[00:29:56.505 --> 00:30:01.787]  They're going to start helping, I guess, more of our children, Paul.
[00:30:01.787 --> 00:30:06.749]  Well, yeah, they had to help her for her own safety.
[00:30:06.749 --> 00:30:13.392]  But anyone that watches the video can judge for themselves, you know, if this girl's violent or out of control.
[00:30:14.204 --> 00:30:24.327]  Just, as I said in the article on PrisonPlanet.com, the worst it gets is that she's basically waving her hands around and barely even touching the teacher.
[00:30:24.327 --> 00:30:28.929]  And the teacher's sticking her arms out to be hit with almost a smile on her face, loving it.
[00:30:28.929 --> 00:30:31.810]  You can watch the teacher hounding her before this happens.
[00:30:32.614 --> 00:30:39.356]  Yeah, I mean, the force of the child doing this, as I said, is, you know, barely enough force to be able to swat a fly.
[00:30:39.356 --> 00:30:43.138]  Yeah, he might knock a small champagne glass off a table.
[00:30:43.138 --> 00:30:44.118]  Exactly.
[00:30:44.118 --> 00:30:51.881]  Before she's actually arrested, she's sitting down quietly, you know, not making a sound until they twist her arms around and put the cuffs on.
[00:30:51.881 --> 00:30:57.743]  So, I made a list of reasons as to why, you know, this type of thing is increasing in regularity.
[00:30:57.743 --> 00:30:59.403]  But she may be with Al-Qaeda.
[00:30:59.403 --> 00:31:00.924]  Well, that's maybe one of the reasons.
[00:31:01.624 --> 00:31:09.871]  But the primary one is obviously due to this media hyping of child abduction and paedophilia of which we talked about in the past.
[00:31:09.871 --> 00:31:12.533]  The numbers have been steadily decreasing since the 70s.
[00:31:13.720 --> 00:31:23.067]  They have codes of conduct, and it's the same in the UK, whereby teachers cannot make any physical contact whatsoever with pupils.
[00:31:23.067 --> 00:31:28.511]  So it prevents teachers from using simple restraining techniques that don't even harm a child in any way.
[00:31:28.511 --> 00:31:29.732]  Paul, I'm not that old.
[00:31:29.732 --> 00:31:36.737]  I'm 31, and I remember smarting off in public school and having been grabbed by the ear.
[00:31:37.518 --> 00:31:39.720]  And believe me, I didn't do it after that.
[00:31:39.720 --> 00:31:41.642]  And then I got in trouble when I got home.
[00:31:41.642 --> 00:31:43.164]  But again, we have the handbooks.
[00:31:43.164 --> 00:31:53.894]  They know by not disciplining them, telling the parents not to discipline, the child's gonna be bad, and then now the cops taser you, they take you to Juvie Hall, where some 15-year-old rapes you.
[00:31:53.894 --> 00:31:55.716]  I mean, how is that teaching?
[00:31:55.716 --> 00:31:57.378]  They know what they're doing, folks.
[00:31:57.378 --> 00:32:00.901]  This is by design to fill the prison populations.
[00:32:00.901 --> 00:32:01.282]  Go ahead.
[00:32:02.518 --> 00:32:05.141]  Well, I'm 23 years old.
[00:32:05.141 --> 00:32:16.513]  15, 16 years ago, I was in primary school, and there were a few bad apples, and literally, we had kids throwing chairs across the room, like, once a month, on a regular basis.
[00:32:16.513 --> 00:32:21.999]  They were always restrained, you know, sent to the headmaster's office, the principal's office, and that was the end of it.
[00:32:22.862 --> 00:32:26.745]  Nobody in their right mind would ever even consider calling the police.
[00:32:26.745 --> 00:32:31.349]  Do you have lavish, uh, did you have lavish Twinkie machines and Coke machines?
[00:32:31.349 --> 00:32:33.751]  No, we didn't have any kind of machines like that whatsoever.
[00:32:33.751 --> 00:32:34.571]  Listen, I'm not kidding.
[00:32:34.571 --> 00:32:48.162]  In the elementary schools, in the middle schools, in the high schools, literally, when I went to high school, and now it's even worse, I've been in high schools to be a speaker and seen it, uh, literally, every 20, 30 feet, there are Coke machines and candy machines.
[00:32:48.857 --> 00:32:53.621]  And during the five-minute break between classes, the children begin gobbling.
[00:32:53.621 --> 00:32:59.806]  Folks, do you know what happens when you feed a young person, or an adult for that matter, candy bars and Cokes?
[00:32:59.806 --> 00:33:01.507]  No wonder diabetes is up 400%.
[00:33:01.507 --> 00:33:08.733]  I mean, it turns them, when they go on the sugar crash, they get a headache and are a little brats.
[00:33:08.733 --> 00:33:12.076]  But we need to put them on Ritalin because they're hyper, Paul.
[00:33:12.076 --> 00:33:14.618]  Well, exactly, and you know, the test for that.
[00:33:15.511 --> 00:33:17.192]  Stick of bubblegum on the ground!
[00:33:17.192 --> 00:33:17.432]  Arrested!
[00:33:41.238 --> 00:33:45.339]  There was a 13-year-old that threw a snowball at a police car.
[00:33:45.339 --> 00:33:50.881]  She was arrested, and her DNA was stored in a database permanently.
[00:33:50.881 --> 00:33:53.002]  I'm gonna be completely honest.
[00:33:53.002 --> 00:34:07.126]  In Teague, Texas, probably 16, 17 years ago, I was there on Halloween, small town, running around with friends, throwing eggs at each other.
